 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.000209017 / 0.000209017 | -0.000897111 / 0.000897106 | -0.000246673 / 0.000246673 | -0.000296692 / 0.000296691 | -0.000467984 / 0.000467983 | 2.66916e-05 / -2.66916e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000684698 / -0.000684701 | 0.000328596 / -0.000328597 | 0.000304749 / -0.00030475 | 0.000172925 / -0.000172925 | 0.000638714 / -0.000638717 | 0.000696001 / -0.000696004 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0114447 / -0.0114466 | 0.00559096 / -0.0055914 | 0.00550324 / -0.00550366 | 0.00975638 / -0.00975772 | 0.00978444 / -0.00978578 | 0.0122841 / -0.0122862 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0559545 / -0.056401 | 0.0408848 / -0.0411226 | 0.0257001 / -0.0257939 | 0.0576567 / -0.0581309 | 0.0506424 / -0.0510077 | 0.042155 / -0.0424078 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00139901 / -0.00139902 | -0.00103038 / 0.00103037 | 0.000483837 / -0.000483839 | 0.00115841 / -0.00115842 | 0.00203842 / -0.00203845 | 0.00064584 / -0.000645843 | 0 / 0 |
 | JET_Flavor_Composition | 0.0172507 / -0.0172533 | 0.0117439 / -0.0117451 | 0.00875842 / -0.00875909 | 0.0117778 / -0.011779 | 0.00766281 / -0.00766332 | 0.0132162 / -0.0132177 | 0 / 0 |
 | JET_Flavor_Response | -0.0162928 / 0.0162844 | -0.00589025 / 0.00588914 | -0.007263 / 0.00726131 | -0.0107384 / 0.0107347 | -0.00691767 / 0.00691614 | -0.0064497 / 0.00644838 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.074122 / 0.074084 | -0.0445139 / 0.0445002 | -0.0399693 / 0.0399582 | -0.0738884 / 0.0738506 | -0.071334 / 0.0712988 | -0.0631166 / 0.0630891 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00229257 / 0.00229253 | -0.0135033 / 0.0135021 | 9.1239e-05 / -9.1239e-05 | -0.000459221 / 0.00045922 | 0.000999684 / -0.000999691 | -0.00155501 / 0.00155499 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00035358 / 0.000353579 | 6.85871e-06 / -6.85871e-06 | -0.000745203 / 0.000745199 | 7.39834e-05 / -7.39835e-05 | -0.00233171 / 0.00233167 | -0.00214683 / 0.00214679 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -4.04759e-05 / 4.04759e-05 | -0.00343485 / 0.00343477 | -0.000790088 / 0.000790084 | -0.00129215 / 0.00129214 | 0.00201665 / -0.00201667 | -0.000740253 / 0.000740249 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000567575 / -0.000567577 | 0.00261866 / -0.00261871 | 0.0015976 / -0.00159762 | 0.00134498 / -0.00134499 | 0.00110978 / -0.00110979 | 0.00069206 / -0.000692064 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00517976 / 0.00517958 | -0.0143916 / 0.0143902 | -0.00077275 / 0.000772746 | -0.00300243 / 0.00300237 | -0.0017221 / 0.00172208 | -0.00563753 / 0.00563732 | 0 / 0 |
