 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.000210417 / 0.000210417 | -0.000903119 / 0.000903119 | -0.000248326 / 0.000248326 | -0.000298679 / 0.000298679 | -0.000471119 / 0.000471119 | 2.68704e-05 / -2.68704e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000689392 / -0.000689392 | 0.000330848 / -0.000330848 | 0.000306838 / -0.000306838 | 0.00017411 / -0.00017411 | 0.000643093 / -0.000643093 | 0.000700772 / -0.000700772 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0116062 / -0.0116062 | 0.00566961 / -0.00566961 | 0.00558065 / -0.00558065 | 0.00989392 / -0.00989392 | 0.00992237 / -0.00992237 | 0.0124575 / -0.0124575 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0644199 / -0.0644199 | 0.0470218 / -0.0470218 | 0.0295268 / -0.0295268 | 0.0663873 / -0.0663873 | 0.0582829 / -0.0582829 | 0.0484868 / -0.0484868 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00140839 / -0.00140839 | -0.00103728 / 0.00103728 | 0.00048708 / -0.00048708 | 0.00116618 / -0.00116618 | 0.0020521 / -0.0020521 | 0.000650168 / -0.000650168 | 0 / 0 |
 | JET_Flavor_Composition | 0.0174017 / -0.0174017 | 0.0118464 / -0.0118464 | 0.00883472 / -0.00883472 | 0.0118805 / -0.0118805 | 0.00772954 / -0.00772954 | 0.0133316 / -0.0133316 | 0 / 0 |
 | JET_Flavor_Response | -0.0168104 / 0.0168104 | -0.00607836 / 0.00607836 | -0.00749479 / 0.00749479 | -0.0110805 / 0.0110805 | -0.00713847 / 0.00713847 | -0.00665563 / 0.00665563 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.074615 / 0.074615 | -0.0448148 / 0.0448148 | -0.0402401 / 0.0402401 | -0.0743799 / 0.0743799 | -0.0718092 / 0.0718092 | -0.063539 / 0.063539 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00230793 / 0.00230793 | -0.0135933 / 0.0135933 | 9.1851e-05 / -9.1851e-05 | -0.0004623 / 0.0004623 | 0.00100639 / -0.00100639 | -0.00156543 / 0.00156543 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.000356173 / 0.000356173 | 6.90901e-06 / -6.90901e-06 | -0.000750666 / 0.000750666 | 7.4526e-05 / -7.4526e-05 | -0.00234879 / 0.00234879 | -0.00216255 / 0.00216255 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -4.07492e-05 / 4.07492e-05 | -0.00345801 / 0.00345801 | -0.000795422 / 0.000795422 | -0.00130087 / 0.00130087 | 0.00203028 / -0.00203028 | -0.00074525 / 0.00074525 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000571989 / -0.000571989 | 0.00263905 / -0.00263905 | 0.00161003 / -0.00161003 | 0.00135544 / -0.00135544 | 0.00111841 / -0.00111841 | 0.000697443 / -0.000697443 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00521449 / 0.00521449 | -0.0144877 / 0.0144877 | -0.000777943 / 0.000777943 | -0.00302258 / 0.00302258 | -0.00173367 / 0.00173367 | -0.00567533 / 0.00567533 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00756648 / -0.00756648 | 0.00330865 / -0.00330865 | 0.00363932 / -0.00363932 | 0.00580691 / -0.00580691 | 0.00696112 / -0.00696112 | 0.00634449 / -0.00634449 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00301668 / -0.00301668 | -0.00349989 / 0.00349989 | 0.00193455 / -0.00193455 | 0.00105481 / -0.00105481 | 0.00496215 / -0.00496215 | 0.00379367 / -0.00379367 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0166361 / -0.0166361 | 0.0191351 / -0.0191351 | 0.019217 / -0.019217 | 0.0296519 / -0.0296519 | 0.0242552 / -0.0242552 | 0.0324371 / -0.0324371 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00804275 / -0.00804275 | 0.0184947 / -0.0184947 | 0.00511577 / -0.00511577 | 0.00457381 / -0.00457381 | 0.0039605 / -0.0039605 | 0.00589531 / -0.00589531 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0134829 / -0.0134829 | 0.0111103 / -0.0111103 | 0.00643396 / -0.00643396 | 0.00809023 / -0.00809023 | 0.0101873 / -0.0101873 | 0.00955865 / -0.00955865 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.0178549 / -0.0178549 | 0.0149759 / -0.0149759 | 0.00837845 / -0.00837845 | 0.014848 / -0.014848 | 0.0132803 / -0.0132803 | 0.0164017 / -0.0164017 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00944824 / -0.00944824 | 0.00405859 / -0.00405859 | 0.00474835 / -0.00474835 | 0.0058183 / -0.0058183 | 0.00678952 / -0.00678952 | 0.00696914 / -0.00696914 | 0 / 0 |
 | JET_SingleParticle_HighPt | 1.93607e-07 / -1.93607e-07 | 1.03631e-06 / -1.03631e-06 | 4.24203e-06 / -4.24203e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.22462 / 0.22462 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.18107 / 0.18107 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.021123 / 0.021123 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0112107 / -0.0112107 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | -0.0020496 / 0.0020496 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.211211 / 0.211211 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.178813 / 0.178813 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0270068 / 0.0270068 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0141142 / -0.0141142 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0019835 / -0.0019835 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00361883 / -0.00361883 | 0.00361883 / -0.00361883 | 0.00361883 / -0.00361883 | 0.00361883 / -0.00361883 | 0.00361883 / -0.00361883 | 0.00361883 / -0.00361883 | 0.00361883 / -0.00361883 |
