 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_Flavor_Response | -0.00273551 / 0.00273527 | -0.00735446 / 0.00735273 | -0.00234273 / 0.00234255 | -0.00887806 / 0.00887554 | 0 / 0 | -0.00316237 / 0.00316205 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.0028036 / -0.00280365 | -0.0390674 / 0.0390568 | -0.0241616 / 0.0241575 | -0.0688976 / 0.0688648 | 0 / 0 | -0.0522301 / 0.0522112 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00221523 / 0.0022152 | -0.000307829 / 0.000307828 | 0.000959268 / -0.000959275 | -0.0396465 / 0.039636 | 0 / 0 | 0.0123632 / -0.0123642 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00103218 / 0.00103217 | -3.47395e-05 / 3.47395e-05 | -0.000362305 / 0.000362304 | 0.00329884 / -0.00329892 | 0 / 0 | -0.00941737 / 0.00941672 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0.00103277 / -0.00103277 | 0.000731517 / -0.000731521 | 0.000639581 / -0.000639584 | -0.0149808 / 0.0149793 | 0 / 0 | -0.00282044 / 0.00282039 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.0028012 / -0.00280126 | 7.3958e-06 / -7.3958e-06 | -0.000107583 / 0.000107583 | 0.00667474 / -0.00667508 | 0 / 0 | 0.00969042 / -0.00969115 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00497508 / 0.00497491 | -0.000806093 / 0.000806089 | 0.00200387 / -0.0020039 | -0.0448392 / 0.0448257 | 0 / 0 | -0.0237469 / 0.0237431 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00280165 / -0.00280171 | 0.00374727 / -0.00374737 | 0.00181874 / -0.00181877 | 0.00967298 / -0.0096737 | 0 / 0 | 0.0115968 / -0.0115978 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00280407 / -0.00280413 | 0.0015827 / -0.00158272 | -0.000157435 / 0.000157434 | -0.000202023 / 0.000202023 | 0 / 0 | 0.000233055 / -0.000233055 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0134177 / -0.0134189 | 0.0199608 / -0.0199635 | 0.0213875 / -0.0213907 | 0.0226704 / -0.022674 | 0.0101223 / -0.010123 | 0.032093 / -0.0321002 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00280337 / -0.00280342 | 0.00316011 / -0.00316018 | 0.00154859 / -0.00154861 | 0.00018692 / -0.00018692 | 0 / 0 | 0.0039169 / -0.00391701 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00279815 / -0.00279822 | 0.00526305 / -0.0052633 | 0.00248609 / -0.00248615 | -0.000296528 / 0.000296527 | 0 / 0 | 0.0234564 / -0.0234613 | 0 / 0 |
 | JET_Pileup_PtTerm | -0.00277616 / 0.00277603 | 0.00668411 / -0.00668487 | 0.00412752 / -0.00412781 | 0.0206842 / -0.0206914 | 0 / 0 | 0.0262465 / -0.0262581 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00278842 / -0.00278852 | 0.00393786 / -0.00393805 | 0.0017983 / -0.00179834 | 0.0081899 / -0.00819073 | 0 / 0 | 0.00889477 / -0.00889575 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | 3.96247e-06 / -3.96247e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.999867 / 3.19192 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.999983 / 0.977978 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.502588 / 0.500789 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | -0.078525 / 0.0784832 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0152449 / -0.0152474 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.394308 / 0.395396 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.266217 / 0.266164 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0635168 / 0.0634903 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0161813 / -0.016183 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0050161 / -0.00501627 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Zjets_VR_bin_0 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 |
 | #mu_{Z+jets} | 0 / 0 | 0.384759 / -0.384759 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
