 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.000718319 / 0.000718319 | 0.000497697 / -0.000497697 | 4.74639e-05 / -4.74639e-05 | 0.0006878 / -0.0006878 | -3.24792e-06 / 3.24792e-06 | -1.94172e-05 / 1.94172e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000824385 / -0.000824385 | -0.000303279 / 0.000303279 | 0.000271481 / -0.000271481 | -0.000686836 / 0.000686836 | 0.00392426 / -0.00392426 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0141547 / -0.0141547 | 0.00113994 / -0.00113994 | 0.00658039 / -0.00658039 | 0.0212564 / -0.0212564 | 0.037128 / -0.037128 | 0.00295831 / -0.00295831 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0890337 / -0.0890337 | 0.15434 / -0.15434 | 0.0386025 / -0.0386025 | 0.0963383 / -0.0963383 | 0.120504 / -0.120504 | 0.0785349 / -0.0785349 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00183242 / -0.00183242 | -0.000318338 / 0.000318338 | 0.000474728 / -0.000474728 | 0.00432581 / -0.00432581 | 0.0126719 / -0.0126719 | -0.000604195 / 0.000604195 | 0 / 0 |
 | JET_Flavor_Composition | 0.0186987 / -0.0186987 | 4.78942e-05 / -4.78942e-05 | 0.00776087 / -0.00776087 | 0.0205925 / -0.0205925 | 0.0125392 / -0.0125392 | 0.0164797 / -0.0164797 | 0 / 0 |
 | JET_Flavor_Response | -0.00147927 / 0.00147927 | 0.00147259 / -0.00147259 | -0.000972358 / 0.000972358 | -0.000151728 / 0.000151728 | 0.0193621 / -0.0193621 | -0.00818109 / 0.00818109 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.106225 / 0.106225 | -0.188942 / 0.188942 | -0.0636306 / 0.0636306 | -0.0733039 / 0.0733039 | -0.138708 / 0.138708 | -0.107407 / 0.107407 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00567225 / 0.00567225 | -0.0216647 / 0.0216647 | -0.000560825 / 0.000560825 | -0.0242636 / 0.0242636 | 0.0118954 / -0.0118954 | -0.0147605 / 0.0147605 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0.00192229 / -0.00192229 | 0.00465946 / -0.00465946 | -0.000868178 / 0.000868178 | -0.0127166 / 0.0127166 | 0.00702282 / -0.00702282 | 0.0387958 / -0.0387958 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000146134 / 0.000146134 | 0.0051031 / -0.0051031 | 0.00339542 / -0.00339542 | -0.0136358 / 0.0136358 | -0.0170546 / 0.0170546 | 0.00920307 / -0.00920307 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000661631 / -0.000661631 | -0.00888895 / 0.00888895 | -0.00164165 / 0.00164165 | 0.0271558 / -0.0271558 | -0.0178065 / 0.0178065 | -0.0215689 / 0.0215689 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00375024 / 0.00375024 | 0.0154419 / -0.0154419 | 0.0003502 / -0.0003502 | -0.00269454 / 0.00269454 | -0.0272219 / 0.0272219 | -0.0183268 / 0.0183268 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00489816 / -0.00489816 | 0.00389539 / -0.00389539 | 0.00125422 / -0.00125422 | 0.000733968 / -0.000733968 | 0.0279376 / -0.0279376 | 0.00570624 / -0.00570624 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00210108 / -0.00210108 | -0.00652048 / 0.00652048 | -0.0013042 / 0.0013042 | -0.00375112 / 0.00375112 | -0.011174 / 0.011174 | 0.00518051 / -0.00518051 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0175709 / -0.0175709 | 0.0281617 / -0.0281617 | 0.0202386 / -0.0202386 | 0.0310002 / -0.0310002 | 0.0218406 / -0.0218406 | 0.0367476 / -0.0367476 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00428871 / -0.00428871 | 0.023626 / -0.023626 | 0.00515044 / -0.00515044 | 0.00513581 / -0.00513581 | 0.0197668 / -0.0197668 | 0.00291142 / -0.00291142 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0117535 / -0.0117535 | 0.00869194 / -0.00869194 | 0.00380768 / -0.00380768 | 0.00504299 / -0.00504299 | 0.0480092 / -0.0480092 | 0.00921612 / -0.00921612 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.0142688 / -0.0142688 | 0.00525575 / -0.00525575 | 0.00792007 / -0.00792007 | 0.01335 / -0.01335 | 0.0318156 / -0.0318156 | -0.00346857 / 0.00346857 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.0121694 / -0.0121694 | -0.0063927 / 0.0063927 | 0.0040652 / -0.0040652 | 0.00347593 / -0.00347593 | 0.0345889 / -0.0345889 | 0.0219559 / -0.0219559 | 0 / 0 |
 | JET_SingleParticle_HighPt | 7.43726e-05 / -7.43726e-05 | 1.97777e-05 / -1.97777e-05 | 9.7649e-05 / -9.7649e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.263345 / 0.263345 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.198946 / 0.198946 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0297647 / 0.0297647 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.00227093 / -0.00227093 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0146316 / -0.0146316 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.441502 / 0.441502 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.243319 / 0.243319 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0701833 / 0.0701833 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0239989 / -0.0239989 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0532847 / -0.0532847 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_VR_bin_0 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 | 0.0175919 / -0.0175919 |
