 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_InSitu_NonClosure_PreRec | 0.00282302 / -0.00282302 | -0.0393322 / 0.0393322 | -0.0243266 / 0.0243266 | -0.0693572 / 0.0693572 | 0 / 0 | -0.0525816 / 0.0525816 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00223007 / 0.00223007 | -0.000309893 / 0.000309893 | 0.000965705 / -0.000965705 | -0.0399071 / 0.0399071 | 0 / 0 | 0.0124466 / -0.0124466 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00103974 / 0.00103974 | -3.49943e-05 / 3.49943e-05 | -0.000364961 / 0.000364961 | 0.00332307 / -0.00332307 | 0 / 0 | -0.00948611 / 0.00948611 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0.00103974 / -0.00103974 | 0.000736459 / -0.000736459 | 0.000643902 / -0.000643902 | -0.0150812 / 0.0150812 | 0 / 0 | -0.00283946 / 0.00283946 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.00282302 / -0.00282302 | 7.45331e-06 / -7.45331e-06 | -0.000108419 / 0.000108419 | 0.00672681 / -0.00672681 | 0 / 0 | 0.00976613 / -0.00976613 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00500845 / 0.00500845 | -0.000811511 / 0.000811511 | 0.00201736 / -0.00201736 | -0.0451337 / 0.0451337 | 0 / 0 | -0.0239046 / 0.0239046 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00282302 / -0.00282302 | 0.00377586 / -0.00377586 | 0.00183261 / -0.00183261 | 0.00974701 / -0.00974701 | 0 / 0 | 0.0116856 / -0.0116856 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00282302 / -0.00282302 | 0.00159339 / -0.00159339 | -0.000158497 / 0.000158497 | -0.000203386 / 0.000203386 | 0 / 0 | 0.000234627 / -0.000234627 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0135117 / -0.0135117 | 0.0201011 / -0.0201011 | 0.021538 / -0.021538 | 0.02283 / -0.02283 | 0.0101931 / -0.0101931 | 0.03232 / -0.03232 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00282302 / -0.00282302 | 0.00318226 / -0.00318226 | 0.00155944 / -0.00155944 | 0.000188228 / -0.000188228 | 0 / 0 | 0.00394437 / -0.00394437 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00282302 / -0.00282302 | 0.00530989 / -0.00530989 | 0.00250819 / -0.00250819 | -0.000299159 / 0.000299159 | 0 / 0 | 0.0236671 / -0.0236671 | 0 / 0 |
 | JET_Pileup_PtTerm | -0.00282302 / 0.00282302 | 0.00679747 / -0.00679747 | 0.00419742 / -0.00419742 | 0.0210375 / -0.0210375 | 0 / 0 | 0.026696 / -0.026696 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00282302 / -0.00282302 | 0.00398674 / -0.00398674 | 0.0018206 / -0.0018206 | 0.00829178 / -0.00829178 | 0 / 0 | 0.00900546 / -0.00900546 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | 3.98903e-06 / -3.98903e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -1 / 3.41569 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.504953 / 0.504953 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | -0.0790361 / 0.0790361 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0154067 / -0.0154067 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.392241 / 0.392241 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.266386 / 0.266386 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0639194 / 0.0639194 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0162912 / -0.0162912 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.00505047 / -0.00505047 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Zjets_VR_bin_0 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 |
