 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.00071354 / 0.000713537 | 0.000494384 / -0.000494386 | 4.7148e-05 / -4.7148e-05 | 0.000683221 / -0.000683224 | -3.2263e-06 / 3.2263e-06 | -1.9288e-05 / 1.9288e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000818772 / -0.000818776 | -0.000301215 / 0.000301214 | 0.000269633 / -0.000269633 | -0.000682162 / 0.000682159 | 0.00389749 / -0.0038976 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0139576 / -0.0139603 | 0.00112416 / -0.00112418 | 0.00648907 / -0.00648966 | 0.0209593 / -0.0209655 | 0.0366051 / -0.0366239 | 0.00291732 / -0.00291744 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0772226 / -0.078076 | 0.13337 / -0.135942 | 0.0335813 / -0.0337415 | 0.0835229 / -0.0845223 | 0.104329 / -0.105895 | 0.0681582 / -0.068822 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00182021 / -0.00182024 | -0.00031622 / 0.000316219 | 0.000471568 / -0.000471569 | 0.00429695 / -0.00429708 | 0.012587 / -0.0125881 | -0.000600175 / 0.000600172 | 0 / 0 |
 | JET_Flavor_Composition | 0.0185364 / -0.0185394 | 4.74823e-05 / -4.74823e-05 | 0.00769388 / -0.00769439 | 0.0204136 / -0.0204173 | 0.0124307 / -0.012432 | 0.0163368 / -0.0163391 | 0 / 0 |
 | JET_Flavor_Response | -0.00143339 / 0.00143332 | 0.00142685 / -0.00142691 | -0.000942191 / 0.000942163 | -0.000147019 / 0.000147018 | 0.0187555 / -0.0187668 | -0.00792816 / 0.00792616 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.105535 / 0.105458 | -0.187774 / 0.187529 | -0.0632076 / 0.06318 | -0.0728192 / 0.0727825 | -0.137824 / 0.137692 | -0.10671 / 0.106632 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00563457 / 0.00563436 | -0.0215219 / 0.0215188 | -0.00055709 / 0.000557088 | -0.024104 / 0.0241001 | 0.0118157 / -0.0118166 | -0.0146629 / 0.0146614 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0.00190828 / -0.00190831 | 0.00462546 / -0.00462562 | -0.00086186 / 0.000861855 | -0.0126246 / 0.0126235 | 0.00697151 / -0.00697187 | 0.038508 / -0.0385189 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000145154 / 0.000145154 | 0.00506878 / -0.00506895 | 0.0033726 / -0.00337268 | -0.0135449 / 0.0135437 | -0.0169412 / 0.0169392 | 0.00914105 / -0.00914161 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000656525 / -0.000656528 | -0.00882067 / 0.00882007 | -0.001629 / 0.00162898 | 0.0269434 / -0.0269491 | -0.0176703 / 0.0176679 | -0.0214043 / 0.0214008 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00372524 / 0.00372515 | 0.015338 / -0.0153396 | 0.000347861 / -0.000347862 | -0.00267657 / 0.00267652 | -0.0270426 / 0.0270377 | -0.0182055 / 0.0182033 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00486105 / -0.00486123 | 0.00386589 / -0.003866 | 0.00124474 / -0.00124475 | 0.000728418 / -0.000728422 | 0.0277236 / -0.0277294 | 0.00566299 / -0.00566323 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00208699 / -0.00208702 | -0.00647693 / 0.00647664 | -0.00129547 / 0.00129545 | -0.00372603 / 0.00372594 | -0.0110995 / 0.0110987 | 0.00514571 / -0.00514588 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0174484 / -0.0174505 | 0.0279643 / -0.0279698 | 0.0200973 / -0.0201001 | 0.0307826 / -0.0307892 | 0.021688 / -0.0216913 | 0.036489 / -0.0364982 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00425884 / -0.00425897 | 0.0234599 / -0.0234638 | 0.00511455 / -0.00511474 | 0.00510003 / -0.00510021 | 0.0196281 / -0.0196308 | 0.00289116 / -0.00289121 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0116495 / -0.0116507 | 0.00861515 / -0.00861581 | 0.00377412 / -0.00377425 | 0.00499852 / -0.00499874 | 0.047577 / -0.0475971 | 0.00913467 / -0.00913541 | 0 / 0 |
