 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EtaIntercalibration_TotalStat | -0.00337329 / 0.00337329 | 0.000515078 / -0.000515078 | 0.000211975 / -0.000211975 | 0.00104549 / -0.00104549 | -9.06468e-05 / 9.06468e-05 | 0.00111419 / -0.00111419 | 0 / 0 |
 | JET_Flavor_Composition | -0.00512233 / 0.00512233 | 0.00688713 / -0.00688713 | 0.00393685 / -0.00393685 | 0.00897601 / -0.00897601 | 0.00387029 / -0.00387029 | 0.00497047 / -0.00497047 | 0 / 0 |
 | JET_Flavor_Response | 0.00454919 / -0.00454919 | -0.00893289 / 0.00893289 | -0.00488412 / 0.00488412 | -0.00939434 / 0.00939434 | -0.00495511 / 0.00495511 | -0.0055137 / 0.0055137 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0385905 / 0.0385905 | -0.0260062 / 0.0260062 | -0.0169045 / 0.0169045 | -0.0278473 / 0.0278473 | -0.0265732 / 0.0265732 | -0.0277048 / 0.0277048 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0.000356626 / -0.000356626 | -0.000467235 / 0.000467235 | 4.87004e-05 / -4.87004e-05 | -0.00250934 / 0.00250934 | 0.00801779 / -0.00801779 | -0.000162384 / 0.000162384 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0.00718796 / -0.00718796 | -0.000438272 / 0.000438272 | -0.00036368 / 0.00036368 | -0.000131896 / 0.000131896 | -0.0086935 / 0.0086935 | -0.00254112 / 0.00254112 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.00672021 / 0.00672021 | -0.000686836 / 0.000686836 | 5.64271e-05 / -5.64271e-05 | -0.00133907 / 0.00133907 | -0.00805941 / 0.00805941 | -0.00312753 / 0.00312753 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.00663128 / 0.00663128 | 0.000699483 / -0.000699483 | -6.44044e-05 / 6.44044e-05 | 0.000621546 / -0.000621546 | 0.00660406 / -0.00660406 | 0.00239269 / -0.00239269 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0163877 / -0.0163877 | -0.000503992 / 0.000503992 | 4.83254e-05 / -4.83254e-05 | -0.00347085 / 0.00347085 | 0.0053748 / -0.0053748 | -0.0023647 / 0.0023647 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | -0.00418256 / 0.00418256 | 0.00373373 / -0.00373373 | 0.00196977 / -0.00196977 | 0.00297569 / -0.00297569 | 0.00555202 / -0.00555202 | 0.00431863 / -0.00431863 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0046373 / 0.0046373 | 0.0051379 / -0.0051379 | 0.00197254 / -0.00197254 | 0.00407832 / -0.00407832 | 0.00514876 / -0.00514876 | 0.00526394 / -0.00526394 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0278728 / -0.0278728 | 0.0177278 / -0.0177278 | 0.0207579 / -0.0207579 | 0.0271872 / -0.0271872 | 0.0188699 / -0.0188699 | 0.0326835 / -0.0326835 | 0 / 0 |
