 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EtaIntercalibration_TotalStat | -0.00335088 / 0.0033508 | 0.000511649 / -0.00051165 | 0.000210564 / -0.000210565 | 0.00103853 / -0.00103854 | -9.00435e-05 / 9.00435e-05 | 0.00110677 / -0.00110678 | 0 / 0 |
 | JET_Flavor_Composition | -0.00507839 / 0.00507817 | 0.0068277 / -0.00682811 | 0.00390293 / -0.00390307 | 0.00889848 / -0.00889917 | 0.00383694 / -0.00383707 | 0.00492763 / -0.00492784 | 0 / 0 |
 | JET_Flavor_Response | 0.00440768 / -0.0044083 | -0.00865682 / 0.00865442 | -0.00473288 / 0.00473216 | -0.00910407 / 0.00910142 | -0.00480167 / 0.00480094 | -0.00534301 / 0.0053421 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0383306 / 0.0383204 | -0.0258299 / 0.0258252 | -0.0167894 / 0.0167874 | -0.0276587 / 0.0276534 | -0.0263931 / 0.0263883 | -0.0275171 / 0.0275119 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0.00035425 / -0.000354251 | -0.000464123 / 0.000464121 | 4.83759e-05 / -4.8376e-05 | -0.00249265 / 0.0024926 | 0.00796416 / -0.00796458 | -0.000161302 / 0.000161302 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0.00713544 / -0.00713582 | -0.000435082 / 0.000435081 | -0.000361033 / 0.000361032 | -0.000130936 / 0.000130936 | -0.00863048 / 0.00862993 | -0.00252264 / 0.00252259 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.00667528 / 0.00667498 | -0.00068223 / 0.000682227 | 5.60485e-05 / -5.60486e-05 | -0.0013301 / 0.00133008 | -0.00800556 / 0.00800513 | -0.00310658 / 0.00310651 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.00658029 / 0.00657995 | 0.000694085 / -0.000694088 | -6.39075e-05 / 6.39075e-05 | 0.000616748 / -0.000616751 | 0.00655294 / -0.00655328 | 0.00237421 / -0.00237425 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0162774 / -0.0162792 | -0.000500627 / 0.000500625 | 4.80027e-05 / -4.80027e-05 | -0.00344771 / 0.00344763 | 0.00533881 / -0.005339 | -0.00234893 / 0.00234889 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | -0.00415101 / 0.00415088 | 0.00370545 / -0.00370556 | 0.00195487 / -0.0019549 | 0.00295316 / -0.00295323 | 0.00550994 / -0.00551017 | 0.00428592 / -0.00428606 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0046063 / 0.00460616 | 0.00510338 / -0.00510356 | 0.00195931 / -0.00195933 | 0.00405094 / -0.00405105 | 0.00511417 / -0.00511435 | 0.00522858 / -0.00522876 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0276775 / -0.0276828 | 0.0176042 / -0.0176064 | 0.0206129 / -0.0206159 | 0.0269967 / -0.0270018 | 0.0187382 / -0.0187407 | 0.0324539 / -0.0324613 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.0033887 / 0.00338862 | 0.00267933 / -0.00267938 | 0.00167341 / -0.00167343 | 0.00295601 / -0.00295607 | 0.00458428 / -0.00458443 | 0.00442924 / -0.00442937 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.00676105 / 0.00676065 | 0.00525439 / -0.00525463 | 0.00330421 / -0.0033043 | 0.00470652 / -0.00470671 | 0.00379042 / -0.00379054 | 0.0058707 / -0.005871 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00602851 / -0.00602912 | 0.00684618 / -0.00684697 | 0.00411071 / -0.00411099 | 0.00538342 / -0.00538391 | -0.00545068 / 0.00545017 | 0.00557752 / -0.00557805 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.00501835 / 0.00501804 | 0.00353836 / -0.00353852 | 0.00193209 / -0.00193213 | 0.00367886 / -0.00367903 | 0.0091564 / -0.00915744 | 0.00458189 / -0.00458215 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | -1.57435e-07 / 1.57435e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.473912 / 0.465588 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.382317 / 0.379887 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0717854 / 0.0717502 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0271134 / -0.0271184 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.0196259 / -0.0196299 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.310886 / 0.311555 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.222983 / 0.222946 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.033957 / 0.0339494 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0152011 / -0.0152027 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.00119556 / 0.00119555 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Zjets_CR_bin_0 | 0.00220604 / -0.00220604 | 0.00220604 / -0.00220604 | 0.00220604 / -0.00220604 | 0.00220604 / -0.00220604 | 0.00220604 / -0.00220604 | 0.00220604 / -0.00220604 | 0.00220604 / -0.00220604 |
 | #mu_{Z+jets} | 0 / 0 | 0.384759 / -0.384759 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
