 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.000215844 / 0.000215804 | -0.00130422 / 0.00130417 | -0.000276875 / 0.000276927 | -0.000250097 / 0.000250147 | -0.000849008 / 0.000849012 | -0.000347221 / 0.000347243 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000745053 / -0.000744988 | 0.000644069 / -0.000644046 | 0.000333867 / -0.000333816 | 0.000221282 / -0.000221231 | 0.00096849 / -0.000968487 | 0.00153504 / -0.00153503 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0116567 / -0.0116585 | 0.00602064 / -0.00602109 | 0.00564104 / -0.00564151 | 0.00953272 / -0.00953394 | 0.00688205 / -0.00688259 | 0.0148578 / -0.0148606 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0576647 / -0.0571191 | 0.0406623 / -0.0403966 | 0.0283502 / -0.0282229 | 0.0591592 / -0.058584 | 0.0467104 / -0.0463571 | 0.0463242 / -0.0459769 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00144154 / -0.00144148 | -0.000990993 / 0.000991011 | 0.000321013 / -0.000321076 | 0.00118851 / -0.00118847 | 0.00153818 / -0.00153819 | 0.00176663 / -0.00176663 | 0 / 0 |
 | JET_Flavor_Composition | 0.0178693 / -0.0178704 | 0.012752 / -0.0127526 | 0.00932526 / -0.00932553 | 0.0113365 / -0.011337 | 0.00810654 / -0.00810678 | 0.0148411 / -0.0148419 | 0 / 0 |
 | JET_Flavor_Response | -0.0158122 / 0.0158029 | -0.00619786 / 0.00619648 | -0.0072614 / 0.0072594 | -0.0095756 / 0.00957218 | -0.00760743 / 0.00760524 | -0.00749428 / 0.00749214 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.075393 / 0.0757125 | -0.0458279 / 0.0459386 | -0.040859 / 0.040946 | -0.0733729 / 0.0736742 | -0.0664236 / 0.0666669 | -0.0634716 / 0.0636924 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00181964 / 0.00181969 | -0.0104331 / 0.0104322 | -0.000139488 / 0.000139426 | -0.000222698 / 0.000222752 | 0.00267111 / -0.00267116 | -0.00131161 / 0.00131162 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -3.11124e-05 / 3.10726e-05 | 8.12875e-05 / -8.13263e-05 | -0.000408468 / 0.000408405 | 0.000297328 / -0.000297278 | -0.00392561 / 0.00392552 | -0.000372418 / 0.000372473 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000111671 / 0.000111739 | -0.00359154 / 0.00359148 | -0.000752156 / 0.000752091 | 0.000129752 / -0.000129701 | -4.90229e-06 / 4.91134e-06 | -0.000283758 / 0.00028378 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.000354344 / 0.000354303 | 0.00567679 / -0.00567703 | 0.00124873 / -0.00124869 | 0.00014799 / -0.000147939 | 0.00237856 / -0.00237872 | -0.000648061 / 0.00064813 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00560826 / 0.005608 | -0.0109872 / 0.0109863 | -0.00105503 / 0.00105507 | 0.000653104 / -0.000653153 | 0.00323103 / -0.00323111 | -0.00865287 / 0.0086522 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00778211 / -0.00778252 | 0.00299601 / -0.00299606 | 0.00341726 / -0.0034173 | 0.0057499 / -0.00575011 | 0.00545903 / -0.00545931 | 0.0070672 / -0.00706759 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00271568 / -0.00271568 | -0.00224052 / 0.0022405 | 0.00196911 / -0.00196909 | 0.000579424 / -0.000579475 | 0.00345713 / -0.00345723 | 0.00243562 / -0.00243566 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.016679 / -0.0166805 | 0.0191663 / -0.0191684 | 0.0191439 / -0.019146 | 0.0296566 / -0.0296617 | 0.0241792 / -0.0241825 | 0.0318274 / -0.0318331 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00781499 / -0.00781546 | 0.0149555 / -0.0149571 | 0.00496052 / -0.00496064 | 0.00362815 / -0.00362829 | 0.00264612 / -0.00264616 | 0.0074973 / -0.00749778 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0135425 / -0.0135442 | 0.00987424 / -0.00987512 | 0.00683967 / -0.00684005 | 0.00724212 / -0.00724255 | 0.00806652 / -0.00806711 | 0.00992366 / -0.00992454 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.0168814 / -0.0168864 | 0.0149536 / -0.0149574 | 0.00811866 / -0.00811976 | 0.0141275 / -0.014131 | 0.0145105 / -0.0145141 | 0.0168751 / -0.0168799 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00973321 / -0.00973445 | 0.00291541 / -0.0029155 | 0.00486859 / -0.00486895 | 0.00521823 / -0.00521863 | 0.00547598 / -0.00547641 | 0.00816318 / -0.008164 | 0 / 0 |
 | JET_SingleParticle_HighPt | 2.50254e-07 / -2.9014e-07 | 1.25663e-06 / -1.29555e-06 | 5.16104e-06 / -5.1089e-06 | 2.54553e-08 / 2.54566e-08 | 4.51746e-09 / 4.51769e-09 | -3.90276e-08 / -3.90295e-08 | 0 / 0 |
 | MUF_Wjets | -0.186177 / 0.180371 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.171529 / 0.169764 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0219686 / 0.0219631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0110244 / -0.0110251 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | -0.000371656 / 0.000371653 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.239318 / 0.239784 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.185842 / 0.185891 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0251067 / 0.0251026 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0114265 / -0.0114274 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.0213742 / -0.0213772 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00177831 / -0.00177831 | 0.00175242 / -0.00175242 | 0.00158482 / -0.00158482 | 0.00178659 / -0.00178659 | 0.00171012 / -0.00171012 | 0.00181232 / -0.00181232 | 0.0017043 / -0.0017043 |
 | gamma_stat_Wjets_CR_bin_1 | 0.00162314 / -0.00162314 | 0.00152739 / -0.00152739 | 0.0015037 / -0.0015037 | 0.00168019 / -0.00168019 | 0.00161884 / -0.00161884 | 0.00157291 / -0.00157291 | 0.00158353 / -0.00158353 |
 | gamma_stat_Wjets_CR_bin_2 | 0.00130709 / -0.00130709 | 0.00150123 / -0.00150123 | 0.00124379 / -0.00124379 | 0.00140627 / -0.00140627 | 0.00145645 / -0.00145645 | 0.00132065 / -0.00132065 | 0.0012427 / -0.0012427 |
 | gamma_stat_Wjets_CR_bin_3 | 0.00116949 / -0.00116949 | 0.0012124 / -0.0012124 | 0.00121273 / -0.00121273 | 0.00119422 / -0.00119422 | 0.00110962 / -0.00110962 | 0.00119773 / -0.00119773 | 0.00113832 / -0.00113832 |
 | gamma_stat_Wjets_CR_bin_4 | 0.00102165 / -0.00102165 | 0.00108393 / -0.00108393 | 0.000985038 / -0.000985038 | 0.00103028 / -0.00103028 | 0.00104181 / -0.00104181 | 0.000973126 / -0.000973126 | 0.000977903 / -0.000977903 |
