 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | JET_EffectiveNP_Statistical4 | 4.09016e-06 / -4.08888e-06 | 5.40921e-05 / -5.40798e-05 | -3.41959e-05 / 3.42099e-05 | 0.000419109 / -0.000419091 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -6.28829e-06 / 6.28957e-06 | 5.62035e-05 / -5.61912e-05 | 4.14598e-05 / -4.14458e-05 | -1.08643e-06 / 1.10437e-06 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | -3.08653e-07 / 3.0993e-07 | 0.000974152 / -0.000974139 | 0.000216041 / -0.000216027 | 1.18507e-07 / -1.00573e-07 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | -3.92794e-05 / 3.92807e-05 | 0.011464 / -0.011464 | 0.00159059 / -0.00159058 | 0.00633372 / -0.00633381 | 0.00714126 / -0.00714127 | 0.152463 / -0.152463 | 0.00594267 / -0.00594265 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 6.40927e-05 / -6.40915e-05 | 0.066063 / -0.0660629 | 0.025661 / -0.025661 | 0.0229326 / -0.0229326 | 0.0226024 / -0.0226024 | 0.217087 / -0.217087 | 0.0262311 / -0.0262311 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | -3.67649e-06 / 3.67777e-06 | 0.0010161 / -0.00101608 | 0.000679914 / -0.0006799 | 0.00102552 / -0.0010255 | -0.000421053 / 0.000421049 | -1.0084e-08 / -1.0084e-08 | 9.91477e-05 / -9.91311e-05 | 0 / 0 |
 | JET_Flavor_Composition | 6.34741e-05 / -6.34729e-05 | 0.00978161 / -0.0097816 | 0.00342129 / -0.00342128 | 0.0056607 / -0.00566068 | 0.00116475 / -0.00116475 | -0.000165665 / 0.000165644 | 0.00435277 / -0.00435275 | 0 / 0 |
 | JET_Flavor_Response | -1.81788e-05 / 1.81801e-05 | 0.00207318 / -0.00207317 | 3.56131e-05 / -3.57161e-05 | 0.000483737 / -0.000483719 | 0.000239606 / -0.00023961 | 0.0695136 / -0.0695136 | 0.00408774 / -0.00408773 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.000179767 / 0.000179768 | -0.0762177 / 0.0762177 | -0.0282227 / 0.0282227 | -0.0419721 / 0.0422424 | -0.0451964 / 0.0451964 | -0.0794869 / 0.0794868 | -0.00323506 / 0.00323508 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 9.11729e-05 / -9.11716e-05 | -6.97742e-05 / 6.97865e-05 | -0.00117055 / 0.00117057 | -0.000681658 / 0.000681676 | -0.00468985 / 0.00468984 | 0.00060713 / -0.00060715 | 0.00221482 / -0.00221487 | 0 / 0 |
