 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.000217275 / 0.000217235 | -0.00131343 / 0.00131339 | -0.000278789 / 0.000278842 | -0.000251779 / 0.00025183 | -0.000854167 / 0.000854176 | -0.000349837 / 0.00034986 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000750155 / -0.000750086 | 0.000648689 / -0.000648664 | 0.000336167 / -0.000336115 | 0.000222776 / -0.000222724 | 0.000974573 / -0.000974563 | 0.00154566 / -0.00154564 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0118155 / -0.0118155 | 0.00610301 / -0.00610299 | 0.00571787 / -0.00571793 | 0.00966265 / -0.0096627 | 0.00697455 / -0.00697449 | 0.0150606 / -0.0150606 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0661898 / -0.0661897 | 0.0469547 / -0.0469546 | 0.032873 / -0.032873 | 0.0678783 / -0.0678782 | 0.0538239 / -0.0538239 | 0.0533804 / -0.0533804 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00145134 / -0.00145127 | -0.000997131 / 0.000997156 | 0.000323186 / -0.000323248 | 0.00119655 / -0.00119649 | 0.00154758 / -0.00154757 | 0.00177896 / -0.00177894 | 0 / 0 |
 | JET_Flavor_Composition | 0.0180203 / -0.0180202 | 0.0128628 / -0.0128629 | 0.00940589 / -0.00940584 | 0.0114364 / -0.0114364 | 0.00817484 / -0.00817483 | 0.0149686 / -0.0149686 | 0 / 0 |
 | JET_Flavor_Response | -0.0164225 / 0.0164225 | -0.00643579 / 0.00643581 | -0.00754052 / 0.00754045 | -0.00994555 / 0.0099455 | -0.00789657 / 0.00789652 | -0.00778482 / 0.00778474 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0768585 / 0.0768584 | -0.0468112 / 0.0468112 | -0.0417571 / 0.0417571 | -0.074809 / 0.0748089 | -0.0677516 / 0.0677516 | -0.0647578 / 0.0647578 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.0018362 / 0.00183627 | -0.0105442 / 0.0105442 | -0.000140703 / 0.00014064 | -0.000227118 / 0.000227169 | 0.00269598 / -0.00269597 | -0.00132359 / 0.00132362 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -3.17882e-05 / 3.17481e-05 | 8.16009e-05 / -8.16401e-05 | -0.000411592 / 0.000411529 | 0.000299256 / -0.000299204 | -0.00395526 / 0.00395527 | -0.000380863 / 0.000380886 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000112653 / 0.000112721 | -0.00361801 / 0.00361804 | -0.000756923 / 0.000756861 | 0.000130521 / -0.000130469 | -4.62608e-06 / 4.63517e-06 | -0.000286265 / 0.000286288 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.000357098 / 0.000357058 | 0.00572521 / -0.00572519 | 0.00125854 / -0.00125849 | 0.000149191 / -0.00014914 | 0.00239641 / -0.00239652 | -0.000646202 / 0.000646225 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00574809 / 0.00574805 | -0.0112491 / 0.011249 | -0.001081 / 0.00108105 | 0.000669574 / -0.000669622 | 0.00331434 / -0.00331433 | -0.00888146 / 0.00888148 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00784529 / -0.00784522 | 0.00302213 / -0.00302211 | 0.00344496 / -0.0034449 | 0.00579612 / -0.00579607 | 0.00550237 / -0.00550242 | 0.00713067 / -0.00713064 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00274016 / -0.00274009 | -0.00226077 / 0.00226079 | 0.00198677 / -0.00198672 | 0.000584707 / -0.000584756 | 0.00348853 / -0.00348852 | 0.00245727 / -0.00245724 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0167939 / -0.0167938 | 0.0192984 / -0.0192984 | 0.0192753 / -0.0192752 | 0.0298576 / -0.0298577 | 0.0243438 / -0.0243437 | 0.0320424 / -0.0320423 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.0078709 / -0.00787094 | 0.0150605 / -0.0150605 | 0.00499596 / -0.00499591 | 0.00365429 / -0.00365433 | 0.00266333 / -0.00266332 | 0.00755113 / -0.00755121 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0136695 / -0.0136695 | 0.00996774 / -0.00996771 | 0.00690367 / -0.00690362 | 0.00731024 / -0.00731019 | 0.00813921 / -0.00813921 | 0.0100267 / -0.0100267 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.0171871 / -0.0171871 | 0.0152251 / -0.0152251 | 0.00826558 / -0.00826553 | 0.0143832 / -0.0143833 | 0.0147719 / -0.0147719 | 0.0171858 / -0.0171858 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00985742 / -0.00985746 | 0.00295353 / -0.00295351 | 0.00493059 / -0.00493066 | 0.00528502 / -0.00528507 | 0.00554417 / -0.00554422 | 0.00826878 / -0.00826876 | 0 / 0 |
 | JET_SingleParticle_HighPt | 2.5238e-07 / -2.92528e-07 | 1.26984e-06 / -1.309e-06 | 5.19588e-06 / -5.14339e-06 | 2.56265e-08 / 2.56265e-08 | 4.54784e-09 / 4.54784e-09 | -3.929e-08 / -3.929e-08 | 0 / 0 |
 | MUF_Wjets | -0.230096 / 0.230096 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.183326 / 0.183326 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0222828 / 0.0222828 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0111002 / -0.0111002 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | -0.000379944 / 0.000379944 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.237612 / 0.237612 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.185615 / 0.185615 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0252681 / 0.0252681 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
