 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_InSitu_NonClosure_PreRec | 0.00275333 / -0.00275298 | -0.0384804 / 0.0385572 | -0.0237739 / 0.0238022 | -0.0680013 / 0.0682572 | 0 / 0 | -0.0514921 / 0.0516336 |    NA    |
 | JET_JER_DataVsMC_MC16 | -0.00220939 / 0.00220935 | -0.000307009 / 0.000307008 | 0.000956693 / -0.000956701 | -0.0395632 / 0.039552 | 0 / 0 | 0.0123279 / -0.0123292 |    NA    |
 | JET_JER_EffectiveNP_10 | -0.00103161 / 0.0010316 | -3.472e-05 / 3.472e-05 | -0.000362103 / 0.000362102 | 0.00329686 / -0.00329693 | 0 / 0 | -0.00941309 / 0.0094125 |    NA    |
 | JET_JER_EffectiveNP_11 | 0.00103212 / -0.00103213 | 0.000731063 / -0.000731067 | 0.000639184 / -0.000639187 | -0.0149722 / 0.0149706 | 0 / 0 | -0.00281872 / 0.00281867 |    NA    |
 | JET_JER_EffectiveNP_12restTerm | 0.00280046 / -0.00280052 | 7.39378e-06 / -7.39378e-06 | -0.000107554 / 0.000107553 | 0.00667301 / -0.00667337 | 0 / 0 | 0.00968798 / -0.00968873 |    NA    |
 | JET_JERUnc_Noise_PreRec | -0.00488833 / 0.00488815 | -0.000791881 / 0.000791876 | 0.00196828 / -0.00196831 | -0.0441387 / 0.0441289 | 0 / 0 | -0.0233532 / 0.0233498 |    NA    |
 | JET_JESUnc_Noise_PreRec | 0.00280037 / -0.00280043 | 0.00374553 / -0.00374564 | 0.00181792 / -0.00181795 | 0.00966813 / -0.00966886 | 0 / 0 | 0.0115908 / -0.0115919 |    NA    |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00279784 / -0.00279791 | 0.00157918 / -0.0015792 | -0.000157084 / 0.000157083 | -0.000201573 / 0.000201572 | 0 / 0 | 0.000232535 / -0.000232536 |    NA    |
 | JET_NNJvtEfficiency | 0.013419 / -0.01342 | 0.0199642 / -0.0199665 | 0.0213916 / -0.0213942 | 0.0226751 / -0.022678 | 0.0101229 / -0.0101235 | 0.0321032 / -0.032109 |    NA    |
 | JET_Pileup_OffsetMu | 0.00280302 / -0.00280307 | 0.00315972 / -0.00315979 | 0.00154839 / -0.00154841 | 0.000186896 / -0.000186896 | 0 / 0 | 0.00391642 / -0.00391653 |    NA    |
 | JET_Pileup_OffsetNPV | 0.00279689 / -0.00279696 | 0.00526069 / -0.00526095 | 0.00248498 / -0.00248503 | -0.000296394 / 0.000296393 | 0 / 0 | 0.0234462 / -0.0234513 |    NA    |
 | JET_Pileup_PtTerm | -0.00277283 / 0.00277269 | 0.00667662 / -0.0066774 | 0.0041228 / -0.0041231 | 0.0206635 / -0.0206709 | 0 / 0 | 0.0262215 / -0.0262333 |    NA    |
 | JET_Pileup_RhoTopology | 0.00278754 / -0.00278764 | 0.00393662 / -0.00393682 | 0.00179773 / -0.00179778 | 0.00818733 / -0.00818818 | 0 / 0 | 0.00889198 / -0.00889299 |    NA    |
 | JET_SingleParticle_HighPt | 0 / 0 | 3.96249e-06 / -3.96249e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Wjets | -0.996028 / 2.42554 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUR_Wjets | -0.999997 / 1.00001 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Wjets | -0.503009 / 0.503257 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | AlphaS_Wjets | -0.0784637 / 0.0784194 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | PDF_Wjets | 0.0150397 / -0.0150445 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Zjets | 0 / 0 | -0.394609 / 0.395821 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUR_Zjets | 0 / 0 | -0.266707 / 0.266813 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | MUF_Zjets | 0 / 0 | -0.0635183 / 0.063492 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | AlphaS_Zjets | 0 / 0 | 0.0161805 / -0.0161823 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | PDF_Zjets | 0 / 0 | 0.00501657 / -0.00501673 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | gamma_stat_Zjets_VR_bin_0 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 | 0.0088284 / -0.0088284 |    NA    |
 | #mu_{Z+jets} | 0 / 0 | 0.383155 / -0.383155 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
