 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | JET_EffectiveNP_Statistical5 | -0.000718325 / 0.000718304 | 0.000497716 / -0.000497737 | 4.74724e-05 / -4.74734e-05 | 0.000687805 / -0.000687832 | -3.22265e-06 / 3.27978e-06 | -1.94567e-05 / 1.94531e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000824436 / -0.000824352 | -0.000303263 / 0.000303241 | 0.0002715 / -0.000271501 | -0.00068683 / 0.000686803 | 0.00392424 / -0.00392426 | 5.30081e-08 / 5.30081e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0141548 / -0.0141548 | 0.00113993 / -0.00113995 | 0.00658039 / -0.00658039 | 0.0212565 / -0.0212564 | 0.037128 / -0.037128 | 0.00295829 / -0.00295829 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0890337 / -0.0890337 | 0.15434 / -0.15434 | 0.0386024 / -0.0386024 | 0.0963383 / -0.0963383 | 0.11727 / -0.11727 | 0.0785349 / -0.0785349 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00183237 / -0.00183239 | -0.000318329 / 0.000318308 | 0.000474728 / -0.000474729 | 0.00432583 / -0.00432578 | 0.0126719 / -0.0126719 | -0.000604199 / 0.000604195 | 0 / 0 |
 | JET_Flavor_Composition | 0.0186987 / -0.0186987 | 4.78897e-05 / -4.79108e-05 | 0.00776086 / -0.00776086 | 0.0205925 / -0.0205925 | 0.0125392 / -0.0125392 | 0.0164797 / -0.0164797 | 0 / 0 |
 | JET_Flavor_Response | -0.00147928 / 0.00147926 | 0.00147262 / -0.00147255 | -0.000972321 / 0.00097232 | -0.000151762 / 0.000151734 | 0.0193621 / -0.0193621 | -0.00818107 / 0.00818107 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.106225 / 0.106225 | -0.188942 / 0.188942 | -0.0636306 / 0.0636306 | -0.0733039 / 0.0733039 | -0.139255 / 0.139255 | -0.107407 / 0.107407 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.0056723 / 0.00567228 | -0.0216647 / 0.0216646 | -0.000560863 / 0.000560862 | -0.0242636 / 0.0242637 | 0.0118953 / -0.0118954 | -0.0147604 / 0.0147605 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0.00192234 / -0.00192226 | 0.00465946 / -0.00465948 | -0.000868167 / 0.000868166 | -0.0127166 / 0.0127166 | 0.00702279 / -0.0070228 | 0.0387958 / -0.0387958 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000146176 / 0.000146155 | 0.0051031 / -0.00510313 | 0.00339542 / -0.00339542 | -0.0136358 / 0.0136358 | -0.0170546 / 0.0170546 | 0.00920303 / -0.00920303 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.00066159 / -0.000661611 | -0.00888898 / 0.00888896 | -0.00164162 / 0.00164162 | 0.0271558 / -0.0271557 | -0.0178065 / 0.0178065 | -0.021569 / 0.021569 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00375026 / 0.00375024 | 0.0154419 / -0.0154419 | 0.000350171 / -0.000350172 | -0.00269451 / 0.00269456 | -0.0272219 / 0.0272219 | -0.0183268 / 0.0183268 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00489819 / -0.00489821 | 0.00389541 / -0.00389543 | 0.00125422 / -0.00125422 | 0.000733981 / -0.000733931 | 0.0279376 / -0.0279376 | 0.00570619 / -0.0057062 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00210103 / -0.00210106 | -0.00652045 / 0.00652052 | -0.00130423 / 0.00130423 | -0.00375108 / 0.00375113 | -0.011174 / 0.011174 | 0.00518053 / -0.00518053 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0175709 / -0.0175709 | 0.0281617 / -0.0281617 | 0.0202386 / -0.0202386 | 0.0310002 / -0.0310002 | 0.0218406 / -0.0218406 | 0.0367476 / -0.0367476 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00428871 / -0.00428874 | 0.023626 / -0.0236261 | 0.00515041 / -0.00515041 | 0.00513579 / -0.00513582 | 0.0197668 / -0.0197667 | 0.00291138 / -0.00291138 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0117536 / -0.0117536 | 0.00869196 / -0.0086919 | 0.00380767 / -0.00380767 | 0.00504298 / -0.005043 | 0.0480092 / -0.0480092 | 0.00921607 / -0.00921607 | 0 / 0 |
