 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 3.99386e-05 / -3.99387e-05 | 4.79999e-05 / -4.79999e-05 | -0.000106195 / 0.000106195 | 0 / 0 | 1.89906e-05 / -1.89906e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0.000240545 / -0.000240545 | 0.000189729 / -0.000189729 | 9.53262e-05 / -9.53263e-05 | 0 / 0 | 0.000470175 / -0.000470176 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.00483848 / -0.00483776 | 0.00237267 / -0.0023725 | 0.00481202 / -0.00481131 | 0.000428467 / -0.000428461 | 0.00363758 / -0.00363717 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | -0.0130677 / 0.0131488 | 0.0226831 / -0.0224392 | 0.0134133 / -0.013328 | 0.0303022 / -0.0298671 | 0.0621066 / -0.0602837 | 0.0308986 / -0.0304462 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000162999 / -0.000162999 | 0.000239372 / -0.000239372 | -4.58141e-05 / 4.58141e-05 | 3.08575e-05 / -3.08575e-05 | 0.000911468 / -0.000911469 | 0 / 0 |
 | JET_Flavor_Composition | -0.0145512 / 0.0145608 | 0.0037515 / -0.00375084 | 0.00143143 / -0.00143133 | 0.00298009 / -0.00297968 | 0.000482114 / -0.000482103 | -0.000990781 / 0.000990827 | 0 / 0 |
 | JET_Flavor_Response | 0.014462 / -0.0144652 | -0.00809772 / 0.00809671 | -0.00380326 / 0.00380304 | -0.00531578 / 0.00531534 | -0.00506099 / 0.00506059 | -0.001459 / 0.00145897 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0133059 / 0.0134017 | -0.0235061 / 0.0238078 | -0.0166598 / 0.0168104 | -0.023594 / 0.023898 | -0.0324921 / 0.0330733 | -0.0300957 / 0.0305932 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00065777 / 0.000657772 | -0.000227778 / 0.000227778 | -0.000790442 / 0.000790445 | 0.00714084 / -0.0071406 | 0.0744846 / -0.0744784 | -0.00162848 / 0.00162849 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0 / 0 | -0.000307183 / 0.000307217 | -0.000293782 / 0.000293813 | -0.00139794 / 0.00139864 | -0.0221685 / 0.0223499 | 0.000214961 / -0.000214944 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0 / 0 | -0.000405896 / 0.000405897 | -0.000260078 / 0.000260078 | -0.00198682 / 0.00198683 | 0.0130292 / -0.0130286 | 0.00104444 / -0.00104443 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0 / 0 | 7.72025e-05 / -7.72021e-05 | 0.00115837 / -0.00115829 | 0.00207836 / -0.00207809 | 0.0169164 / -0.0168992 | -0.000569194 / 0.000569214 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.00147467 / -0.00147464 | -0.000210343 / 0.000210344 | -7.06065e-05 / 7.06065e-05 | 0.00538535 / -0.00538487 | 0.0576752 / -0.0576334 | 0.00177675 / -0.0017767 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.00286341 / -0.0028634 | 0.00137045 / -0.00137045 | 0.00147718 / -0.00147717 | 0.000581332 / -0.000581332 | 0.00344407 / -0.00344406 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0145788 / 0.0145785 | 0.00455348 / -0.00455352 | 0.00156891 / -0.00156892 | 0.00330824 / -0.00330826 | 0.0077273 / -0.00772742 | 0.00257079 / -0.00257081 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0227725 / -0.0227704 | 0.0177628 / -0.0177616 | 0.0205713 / -0.0205697 | 0.027066 / -0.0270629 | 0.0234355 / -0.0234332 | 0.0330328 / -0.0330279 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.00144124 / -0.00144117 | 0.000443923 / -0.000443916 | 0.00164477 / -0.00164467 | 0.000579202 / -0.00057919 | 0.00146158 / -0.0014615 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.0165966 / 0.0166087 | 0.00184489 / -0.00184473 | 9.72656e-05 / -9.72652e-05 | 0.00107412 / -0.00107407 | 0.00353136 / -0.00353079 | -0.000702428 / 0.00070245 | 0 / 0 |
