 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Modelling4 | 0.00148488 / -0.00148491 | -0.000535883 / 0.000535925 | 0.000614493 / -0.000614524 | 2.02877e-06 / -1.9877e-06 | 1.74328e-08 / 1.82346e-08 | -1.27267e-08 / -1.3312e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.011022 / -0.0110222 | 0.00597769 / -0.00597772 | 0.00549171 / -0.00549172 | 0.00193867 / -0.0019387 | 0.0368211 / -0.0368228 | -0.0108996 / 0.0108994 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | -5.65485e-05 / 5.65336e-05 | 0.0016942 / -0.00169418 | 0.000343529 / -0.000343475 | 0.000351331 / -0.00035129 | 0.000138365 / -0.000138329 | -5.36989e-05 / 5.36728e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00285378 / 0.00285377 | 0.000341492 / -0.000341449 | -0.00109516 / 0.00109514 | -1.54547e-08 / -1.36835e-08 | 1.87895e-08 / 1.66362e-08 | -1.37171e-08 / -1.21451e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.00129807 / 0.00129815 | -0.00111117 / 0.00111121 | -0.000764113 / 0.000764082 | 2.02961e-06 / -1.98856e-06 | 1.83244e-08 / 1.73199e-08 | -9.03396e-06 / 9.07182e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.00145124 / 0.00145121 | -0.000892988 / 0.000892912 | -0.0007454 / 0.000745452 | -1.98794e-06 / 2.02904e-06 | -5.00727e-05 / 5.0016e-05 | 9.07359e-06 / -9.03567e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.0017284 / -0.00172843 | -0.000421757 / 0.0004218 | 0.000399974 / -0.000400003 | 2.0287e-06 / -1.98763e-06 | 1.74192e-08 / 1.82451e-08 | -1.27168e-08 / -1.33197e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0139291 / -0.0139231 | 0.0145038 / -0.0144971 | 0.0165692 / -0.0165606 | 0.012383 / -0.0123783 | 0.0333054 / -0.0332688 | -0.000881723 / 0.000881721 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0789165 / -0.0759785 | 0.0932048 / -0.0891134 | 0.0397261 / -0.0389788 | 0.10837 / -0.10285 | 0.0476999 / -0.0466232 | 0.061972 / -0.0601569 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00283281 / -0.00283283 | 0.0005728 / -0.000572871 | 0.000632418 / -0.000632447 | 0.00028953 / -0.00028956 | -0.00012921 / 0.000129154 | 0.00275967 / -0.00275964 | 0 / 0 |
 | JET_Flavor_Composition | 0.00867513 / -0.00867156 | 0.0144531 / -0.0144431 | 0.0199002 / -0.0198809 | -0.00567002 / 0.00567148 | -0.0100435 / 0.0100482 | 0.000950574 / -0.000950496 | 0 / 0 |
 | JET_Flavor_Response | -0.00527415 / 0.0052737 | -0.00352249 / 0.00352223 | -0.0102748 / 0.0102733 | 0.0182422 / -0.0182473 | 0.0534909 / -0.0535343 | -0.000381079 / 0.000381114 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0869633 / 0.0913398 | -0.0962519 / 0.10166 | -0.0518666 / 0.0533738 | -0.114405 / 0.122177 | -0.0508065 / 0.0522514 | -0.0258155 / 0.0261802 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0.000106574 / -0.000106589 | -0.0020604 / 0.00206035 | 0.0125311 / -0.0125304 | -0.0147506 / 0.0147519 | 0.00653157 / -0.00653143 | 1.34595e-05 / -1.34222e-05 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 3.89419e-05 / -3.89413e-05 | -0.0092906 / 0.00932209 | 0.00917905 / -0.00914882 | 0.0128089 / -0.0127502 | -0.0123973 / 0.0124535 | 0.00464247 / -0.00463471 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.00287339 / 0.00287339 | 0.00753652 / -0.00753631 | 0.00511847 / -0.00511842 | 0.00512953 / -0.00512948 | 0.0117346 / -0.0117342 | -0.0124287 / 0.012429 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.00188224 / 0.00188246 | 0.010293 / -0.0102865 | -0.0135133 / 0.013525 | -0.0224216 / 0.0224542 | 0.0843953 / -0.0840283 | -0.0122956 / 0.0123052 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000693243 / 0.000693236 | 0.0220984 / -0.022091 | 0.0160949 / -0.0160909 | 0.00157689 / -0.00157688 | 0.00746373 / -0.00746278 | -0.0375333 / 0.037561 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00548894 / -0.00548893 | 0.0057657 / -0.00576563 | 0.00864 / -0.00863987 | -0.00126954 / 0.00126951 | -0.0181525 / 0.0181526 | -0.00582224 / 0.00582223 | 0 / 0 |
