 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | JET_EffectiveNP_Modelling3 | -6.22691e-05 / 6.22304e-05 | 0.000168294 / -0.000168282 | 0 / 0 | 0.000704458 / -0.000704448 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | -2.56679e-05 / 2.56292e-05 | -0.000189625 / 0.000189637 | 0 / 0 | 0.000732114 / -0.000732104 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | -0.000125559 / 0.00012552 | 0.000737488 / -0.000737562 | 0 / 0 | 0.00263303 / -0.00263302 | 0.00712431 / -0.00712433 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 2.72929e-05 / -2.73316e-05 | -0.000107525 / 0.000107537 | -1.8726e-05 / 1.8709e-05 | -0.000153148 / 0.000153158 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -2.67077e-05 / 2.67383e-05 | 4.26482e-05 / -4.26362e-05 | 0 / 0 | 0.000275916 / -0.000275906 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -1.86665e-05 / 1.86972e-05 | -0.000164324 / 0.00016425 | -0.000310805 / 0.000310788 | -0.000125427 / 0.000125437 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -1.38141e-05 / 1.37754e-05 | -0.000221381 / 0.000221393 | -1.47572e-05 / 1.47403e-05 | 0.000729766 / -0.000729821 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | -1.89438e-05 / 1.89744e-05 | 5.52989e-05 / -5.52868e-05 | 0 / 0 | 0.000675236 / -0.000675226 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | -4.54242e-05 / 4.53855e-05 | 0.00613545 / -0.00613544 | 0 / 0 | 0.00439468 / -0.00439467 | 0.000100558 / -0.000100574 | 1.52022e-08 / 1.52022e-08 | -0.000243342 / 0.000243313 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | -0.000621338 / 0.000621369 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317165 / -0.0317164 | 1.52022e-08 / 1.52022e-08 | 0.114047 / -0.114047 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | -1.18038e-05 / 1.18344e-05 | 0 / 0 | 0 / 0 | 0.000604008 / -0.000603998 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | 1.1679e-06 / -1.19614e-06 | 0 / 0 |
 | JET_Flavor_Composition | -0.00134352 / 0.00134355 | 0.00311994 / -0.00311993 | 0 / 0 | 0.00400599 / -0.00400598 | -0.0580961 / 0.0580962 | -0.000403345 / 0.000403375 | -0.0256173 / 0.0256173 | 0 / 0 |
 | JET_Flavor_Response | 0.000397949 / -0.000397988 | 0.0047098 / -0.00470978 | 0 / 0 | 0.000746921 / -0.000746976 | 0.0632488 / -0.0632488 | 0.000403375 / -0.000403345 | 0.00446229 / -0.00446231 | 0 / 0 |
