 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0447164 / -0.04377 | 0.0307502 / -0.0303021 | 0.0697998 / -0.0674991 | 0 / 0 | 0.0570838 / -0.0555431 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000508327 / -0.000508327 | 0.000236704 / -0.000236704 | 0 / 0 | 0 / 0 | -0.0050896 / 0.00508955 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.00649497 / -0.00649298 | 0.00376069 / -0.00376003 | 0.00404466 / -0.00404389 | 0 / 0 | 0.00127186 / -0.00127179 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.00636235 / 0.00636172 | -0.00441329 / 0.00441299 | -0.00387593 / 0.0038757 | 0 / 0 | 0.00700603 / -0.00700678 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0 / 0 | -0.0343801 / 0.0350319 | -0.0271708 / 0.0275752 | -0.0144811 / 0.0145947 | 0 / 0 | -0.03259 / 0.0331747 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | -0.00303986 / 0.00303991 | 0.00116355 / -0.00116354 | -0.00469627 / 0.00469639 | 0 / 0 | 0.017272 / -0.0172708 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0 / 0 | 0.00148161 / -0.00148082 | 0.00116808 / -0.00116758 | 0.00865714 / -0.00863024 | 0 / 0 | 0.00172589 / -0.00172482 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0 / 0 | 0.000472329 / -0.000472329 | -0.000787578 / 0.000787579 | -0.000168069 / 0.000168069 | 0 / 0 | 0.00850374 / -0.00850352 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0 / 0 | -0.000770419 / 0.000770456 | -0.00257109 / 0.0025715 | -0.0097407 / 0.0097467 | 0 / 0 | -0.00155481 / 0.00155496 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.00123785 / 0.00123787 | -0.00106422 / 0.00106424 | -0.00405415 / 0.00405443 | 0 / 0 | -0.00181222 / 0.00181228 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.00354386 / -0.00354385 | 0.00211588 / -0.00211588 | 0.00393342 / -0.0039334 | 0 / 0 | 0.00306517 / -0.00306517 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | -0.000688531 / 0.00068853 | -0.000242772 / 0.000242772 | -0.000112616 / 0.000112616 | 0 / 0 | -0.00510402 / 0.00510398 | 0 / 0 |
 | JET_NNJvtEfficiency | 0 / 0 | 0.0196052 / -0.0196036 | 0.0219297 / -0.0219278 | 0.033411 / -0.0334059 | 0 / 0 | 0.0355793 / -0.0355734 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.00182541 / -0.00182529 | 0.00123672 / -0.00123666 | -0.000672777 / 0.000672793 | 0 / 0 | -0.00756776 / 0.00756975 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.00209711 / -0.00209691 | 0.000453737 / -0.000453728 | 0.000318233 / -0.000318228 | 0 / 0 | -0.00552028 / 0.00552166 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.00378461 / -0.0037846 | 0.00387588 / -0.00387588 | 0 / 0 | 0 / 0 | 0.00676599 / -0.00676596 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0015536 / -0.00155356 | 5.12311e-05 / -5.12311e-05 | 0.00391235 / -0.00391211 | 0 / 0 | -0.000149669 / 0.00014967 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | 1.61762e-06 / -1.61762e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
