 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Modelling4 | 0.00105354 / -0.00105358 | 0.00111972 / -0.00111971 | 0.000508254 / -0.000508251 | 0.00106711 / -0.00106709 | 0.0018795 / -0.00187947 | 0.000928895 / -0.000928876 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.00421503 / -0.0042151 | 0.00423831 / -0.00423834 | 0.00259524 / -0.00259525 | 0.00381891 / -0.00381891 | 0.00529825 / -0.00529826 | 0.00364046 / -0.00364047 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | -0.000152196 / 0.000152228 | -0.000492696 / 0.000492707 | -4.13711e-05 / 4.13756e-05 | 0.000738882 / -0.000738854 | 0.000311861 / -0.000311812 | -0.000215738 / 0.000215762 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00221824 / 0.00221821 | -0.00224648 / 0.00224649 | -0.00124041 / 0.00124041 | -0.0013939 / 0.00139393 | -0.00290167 / 0.00290172 | -0.00191714 / 0.00191716 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.000186405 / 0.000186437 | -7.49242e-05 / 7.49374e-05 | -0.000399322 / 0.000399326 | 5.90817e-06 / -5.87638e-06 | -9.80294e-05 / 9.80794e-05 | -0.0006477 / 0.000647722 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.000152658 / 0.000152624 | 5.44591e-05 / -5.4446e-05 | -0.000267513 / 0.000267517 | 2.1282e-05 / -2.13225e-05 | 6.69963e-05 / -6.70394e-05 | 9.55446e-05 / -9.55201e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000557064 / -0.000557099 | 0.000350334 / -0.000350321 | 0.00032481 / -0.000324807 | 0.000494429 / -0.000494471 | 0.000611736 / -0.000611688 | 0.000380377 / -0.000380354 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.00979998 / -0.00979698 | 0.00963104 / -0.00962816 | 0.00449126 / -0.00449064 | 0.0093031 / -0.00930039 | 0.0108933 / -0.0108896 | 0.00609667 / -0.0060955 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0523528 / -0.0510564 | 0.0527258 / -0.0514108 | 0.0264601 / -0.0261283 | 0.0558609 / -0.0543854 | 0.0611406 / -0.0593738 | 0.0414474 / -0.0406341 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00102806 / -0.0010281 | 0.000934657 / -0.000934646 | 0.000578476 / -0.000578472 | 5.6294e-05 / -5.63345e-05 | 0.00263727 / -0.00263733 | 0.000583953 / -0.00058401 | 0 / 0 |
 | JET_Flavor_Composition | 0.0129988 / -0.0129906 | 0.0124242 / -0.0124169 | 0.00456119 / -0.0045602 | 0.00732708 / -0.00732449 | 0.0111171 / -0.0111111 | 0.00715872 / -0.00715627 | 0 / 0 |
 | JET_Flavor_Response | -0.014772 / 0.0147686 | -0.0140721 / 0.014069 | -0.0059686 / 0.00596806 | -0.0073288 / 0.00732793 | -0.0109159 / 0.0109141 | -0.00664965 / 0.0066489 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0594276 / 0.0614201 | -0.0604825 / 0.0625483 | -0.0360675 / 0.0367859 | -0.0630855 / 0.0653383 | -0.0619503 / 0.0641205 | -0.0563248 / 0.0581096 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.0017023 / 0.00170228 | -0.00558183 / 0.005582 | -0.00199553 / 0.00199556 | -0.000810448 / 0.000810478 | 0.000641676 / -0.000641629 | -0.000845596 / 0.000845711 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00209484 / 0.00209643 | 0.000715911 / -0.000715726 | 2.08664e-05 / -2.08662e-05 | 0.00148951 / -0.00148871 | 0.00307862 / -0.0030752 | -0.00187659 / 0.00187787 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000734238 / 0.000734271 | 0.000723805 / -0.000723789 | 0.000664359 / -0.000664353 | 0.0014165 / -0.00141654 | 0.00607514 / -0.00607498 | 0.00252698 / -0.00252694 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.00320781 / -0.00320718 | -0.000233784 / 0.000233788 | 0.000115062 / -0.000115061 | -0.000809267 / 0.000809308 | -0.00447134 / 0.00447259 | 0.00334648 / -0.00334579 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00141292 / 0.00141292 | -0.00315726 / 0.00315744 | -0.000122868 / 0.000122873 | 0.00018909 / -0.000189092 | 0.0043541 / -0.00435372 | 0.00103514 / -0.0010351 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00614886 / -0.00614879 | 0.00579328 / -0.00579324 | 0.00273057 / -0.00273056 | 0.00466749 / -0.00466744 | 0.00950321 / -0.00950316 | 0.00556889 / -0.00556888 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.000593019 / -0.000592988 | 0.00013958 / -0.000139573 | -0.000615117 / 0.000615121 | -0.00235665 / 0.00235667 | 0.00538893 / -0.00538907 | -0.00304419 / 0.00304412 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0166923 / -0.0166912 | 0.017003 / -0.017002 | 0.0197397 / -0.0197382 | 0.0298533 / -0.0298494 | 0.0230557 / -0.0230535 | 0.0327341 / -0.0327293 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00544613 / -0.0054451 | 0.0103426 / -0.0103387 | 0.00159487 / -0.00159478 | 0.00181291 / -0.00181277 | 0.00669895 / -0.00669738 | 0.00475292 / -0.00475209 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00826584 / -0.00826263 | 0.00837742 / -0.00837417 | 0.00342988 / -0.00342933 | 0.00420873 / -0.00420795 | 0.0121384 / -0.0121315 | 0.00508089 / -0.00507975 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00805676 / -0.00805669 | 0.00873342 / -0.00873336 | 0.00441885 / -0.00441891 | 0.00563004 / -0.00563 | 0.0104602 / -0.0104601 | 0.00523418 / -0.00523414 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00613961 / -0.00613899 | 0.0054202 / -0.00541974 | 0.00232991 / -0.00232983 | 0.00192653 / -0.00192644 | 0.0103011 / -0.0102994 | 0.00127823 / -0.00127819 | 0 / 0 |
 | JET_SingleParticle_HighPt | -3.0437e-07 / 2.80946e-07 | 4.29723e-07 / -4.71005e-07 | 1.01544e-06 / -1.01239e-06 | -1.41893e-08 / -1.41917e-08 | -1.50891e-08 / -1.50917e-08 | -1.94947e-08 / -1.9498e-08 | 0 / 0 |
 | MUF_Wjets | -0.22061 / 0.240223 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.195244 / 0.197735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0238093 / 0.0238707 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0110099 / -0.0110057 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.000445125 / -0.000445129 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.238413 / 0.23696 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.187145 / 0.186416 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0248298 / 0.0248254 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
