 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Modelling4 | 0.00149486 / -0.00149488 | -0.000539494 / 0.000539537 | 0.000618627 / -0.000618656 | 2.04292e-06 / -2.00152e-06 | 1.79711e-08 / 1.79711e-08 | -1.31197e-08 / -1.31197e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.0110932 / -0.0110932 | 0.00601703 / -0.00601699 | 0.00552792 / -0.00552786 | 0.00195161 / -0.00195164 | 0.0370365 / -0.0370365 | -0.0109756 / 0.0109756 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | -5.69292e-05 / 5.69142e-05 | 0.00170562 / -0.00170558 | 0.000345843 / -0.000345787 | 0.000353696 / -0.000353655 | 0.000139296 / -0.00013926 | -5.40604e-05 / 5.40341e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.0028748 / 0.00287479 | 0.00034404 / -0.000343996 | -0.00110329 / 0.00110326 | -1.47815e-08 / -1.47815e-08 | 1.79711e-08 / 1.79711e-08 | -1.31197e-08 / -1.31197e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.00130691 / 0.00130699 | -0.00111874 / 0.00111878 | -0.000769319 / 0.000769291 | 2.04292e-06 / -2.00152e-06 | 1.79711e-08 / 1.79711e-08 | -9.09615e-06 / 9.13433e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.00146096 / 0.00146095 | -0.000898979 / 0.000898907 | -0.000750403 / 0.000750458 | -2.00152e-06 / 2.04292e-06 | -5.04087e-05 / 5.03516e-05 | 9.13433e-06 / -9.09615e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.00174006 / -0.00174007 | -0.00042461 / 0.000424654 | 0.000402676 / -0.000402705 | 2.04292e-06 / -2.00152e-06 | 1.79711e-08 / 1.79711e-08 | -1.31197e-08 / -1.31197e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0140258 / -0.0140259 | 0.0146037 / -0.0146037 | 0.0166804 / -0.0166804 | 0.0124707 / -0.0124707 | 0.0334791 / -0.033479 | -0.00088899 / 0.000888964 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.083963 / -0.083963 | 0.0983237 / -0.0983237 | 0.0432662 / -0.0432663 | 0.113294 / -0.113294 | 0.0517041 / -0.0517041 | 0.0666048 / -0.0666048 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00285298 / -0.002853 | 0.000576912 / -0.000576983 | 0.000636958 / -0.000636987 | 0.000291611 / -0.00029164 | -0.000130142 / 0.000130085 | 0.00277933 / -0.00277929 | 0 / 0 |
 | JET_Flavor_Composition | 0.00873392 / -0.00873394 | 0.0145419 / -0.0145418 | 0.0200103 / -0.0200102 | -0.00571737 / 0.00571734 | -0.0101321 / 0.0101322 | 0.000957828 / -0.000957789 | 0 / 0 |
 | JET_Flavor_Response | -0.00535565 / 0.00535563 | -0.00357695 / 0.00357688 | -0.0104334 / 0.0104334 | 0.0185259 / -0.018526 | 0.0543307 / -0.0543306 | -0.000386976 / 0.000387014 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0952347 / 0.0952347 | -0.105302 / 0.105302 | -0.0570135 / 0.0570134 | -0.124919 / 0.124919 | -0.0558545 / 0.0558546 | -0.0284564 / 0.0284564 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0.000107534 / -0.000107548 | -0.00207875 / 0.00207868 | 0.0126502 / -0.0126502 | -0.0148745 / 0.0148744 | 0.00659205 / -0.00659211 | 1.35792e-05 / -1.3541e-05 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 3.98077e-05 / -3.98077e-05 | -0.00949063 / 0.00949063 | 0.00938951 / -0.00938951 | 0.0131061 / -0.0131061 | -0.0126613 / 0.0126613 | 0.00474732 / -0.00474732 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.00290311 / 0.0029031 | 0.00761114 / -0.00761109 | 0.00516967 / -0.0051697 | 0.00518084 / -0.00518087 | 0.0118486 / -0.0118487 | -0.0125623 / 0.0125623 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.00191892 / 0.00191892 | 0.0105032 / -0.0105032 | -0.0137647 / 0.0137647 | -0.0228236 / 0.0228236 | 0.0866232 / -0.0866232 | -0.0125255 / 0.0125255 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000701175 / 0.00070116 | 0.0223784 / -0.0223785 | 0.0162936 / -0.0162936 | 0.00159513 / -0.00159516 | 0.00755239 / -0.00755236 | -0.0378906 / 0.0378906 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.0055267 / -0.00552671 | 0.00580532 / -0.00580527 | 0.00869855 / -0.0086985 | -0.00127856 / 0.00127853 | -0.0182912 / 0.0182912 | -0.00586443 / 0.0058644 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.00157711 / 0.00157709 | -0.00121856 / 0.0012186 | 0.00325156 / -0.00325159 | -0.00938766 / 0.00938763 | -0.0194421 / 0.0194421 | -0.0264473 / 0.0264473 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0188467 / -0.0188467 | 0.0168355 / -0.0168356 | 0.0184948 / -0.0184948 | 0.0315181 / -0.0315181 | 0.0241938 / -0.0241937 | 0.038239 / -0.038239 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000154166 / 0.000154151 | 0.00180924 / -0.00180919 | 0.0103589 / -0.0103589 | -0.0176258 / 0.0176257 | -0.0133431 / 0.0133431 | -0.00265625 / 0.00265629 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00149906 / -0.00149908 | 0.0114707 / -0.0114708 | 0.00895937 / -0.00895939 | -0.0106167 / 0.0106167 | 0.0149111 / -0.0149111 | -0.00739811 / 0.00739814 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00941588 / -0.0094159 | 0.00348534 / -0.00348541 | 0.00432068 / -0.00432071 | 0.00121637 / -0.0012164 | 0.0158032 / -0.0158032 | -0.0146701 / 0.01467 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00270803 / -0.00270804 | 0.00451469 / -0.00451465 | 0.0113153 / -0.0113153 | -0.00738318 / 0.00738315 | 0.0138142 / -0.0138142 | -0.00323776 / 0.00323773 | 0 / 0 |
