 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Statistical1 | 0.0110179 / -0.0110187 | 0.00597621 / -0.00597646 | 0.00549045 / -0.00549065 | 0.00193842 / -0.00193845 | 0.0367818 / -0.036791 | -0.0109019 / 0.0109011 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | -5.65375e-05 / 5.65375e-05 | 0.00169425 / -0.00169427 | 0.000343506 / -0.000343506 | 0.000351308 / -0.000351309 | 0.000138348 / -0.000138348 | -5.37062e-05 / 5.37062e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00285556 / 0.00285551 | 0.000341702 / -0.000341703 | -0.00109587 / 0.00109586 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.00129826 / 0.00129825 | -0.00111136 / 0.00111135 | -0.000764192 / 0.000764188 | 2.01355e-06 / -2.01355e-06 | 0 / 0 | -9.05909e-06 / 9.05909e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.00145125 / 0.00145123 | -0.000892984 / 0.000892979 | -0.000745428 / 0.000745424 | -2.01355e-06 / 2.01355e-06 | -5.00363e-05 / 5.00363e-05 | 9.05909e-06 / -9.05909e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.0017285 / -0.00172852 | -0.000421794 / 0.000421792 | 0.000399995 / -0.000399996 | 2.01355e-06 / -2.01355e-06 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0139278 / -0.0139291 | 0.0145015 / -0.014503 | 0.0165636 / -0.0165655 | 0.0123836 / -0.0123847 | 0.0332427 / -0.0332505 | -0.000882825 / 0.000882819 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0792273 / -0.0795873 | 0.0927441 / -0.0932381 | 0.040869 / -0.0409645 | 0.106824 / -0.107481 | 0.0488285 / -0.0489649 | 0.0628762 / -0.0631026 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.002834 / -0.00283405 | 0.000573116 / -0.000573118 | 0.000632751 / -0.000632754 | 0.000289669 / -0.00028967 | -0.000129238 / 0.000129237 | 0.00276077 / -0.00276082 | 0 / 0 |
 | JET_Flavor_Composition | 0.00866312 / -0.00866374 | 0.0144236 / -0.0144253 | 0.0198472 / -0.0198504 | -0.00567133 / 0.00567106 | -0.0100508 / 0.0100499 | 0.000950084 / -0.000950091 | 0 / 0 |
 | JET_Flavor_Response | -0.00528743 / 0.00528707 | -0.00353134 / 0.00353118 | -0.0103009 / 0.0102996 | 0.0182873 / -0.0182917 | 0.0536189 / -0.0536561 | -0.000382043 / 0.000382042 | 0 / 0 |
