 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Statistical1 | 0.00403793 / -0.00403804 | 0.00407894 / -0.00407905 | 0.00270834 / -0.00270839 | 0.00346816 / -0.00346824 | 0.00495353 / -0.0049537 | 0.00350651 / -0.00350659 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0.000168949 / -0.000168949 | -0.000214042 / 0.000214042 | 2.05525e-05 / -2.05525e-05 | 0.000501818 / -0.00050182 | 0.000410499 / -0.0004105 | -0.000536914 / 0.000536913 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00230065 / 0.00230061 | -0.00248963 / 0.00248958 | -0.00155247 / 0.00155245 | -0.00140931 / 0.00140929 | -0.00259717 / 0.00259712 | -0.0012671 / 0.00126709 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.000147911 / 0.000147911 | -0.000173607 / 0.000173607 | -0.000211968 / 0.000211968 | -0.000104956 / 0.000104956 | -0.000442982 / 0.000442981 | 1.85827e-05 / -1.85827e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -4.19377e-05 / 4.19377e-05 | 7.8289e-05 / -7.82891e-05 | -0.0001003 / 0.0001003 | -4.25375e-05 / 4.25375e-05 | -0.000301707 / 0.000301707 | -0.000103397 / 0.000103397 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000632019 / -0.000632021 | 0.000670048 / -0.000670051 | 0.000315265 / -0.000315265 | 0.000254702 / -0.000254703 | 0.000598572 / -0.000598575 | -8.78161e-05 / 8.78161e-05 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.00970618 / -0.00970684 | 0.00852515 / -0.00852566 | 0.00471304 / -0.00471319 | 0.00825354 / -0.00825401 | 0.0117533 / -0.0117543 | 0.00768174 / -0.00768215 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0523735 / -0.0525305 | 0.0516982 / -0.0518512 | 0.0266059 / -0.0266463 | 0.0549972 / -0.0551703 | 0.0514344 / -0.0515858 | 0.0416798 / -0.0417792 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.000932569 / -0.000932575 | 0.00114687 / -0.00114688 | 0.000590235 / -0.000590237 | -2.92995e-06 / 2.92995e-06 | 0.00129617 / -0.00129618 | -8.51091e-05 / 8.51091e-05 | 0 / 0 |
 | JET_Flavor_Composition | 0.0131192 / -0.0131206 | 0.0134313 / -0.0134327 | 0.00431742 / -0.00431757 | 0.00653128 / -0.00653163 | 0.00866608 / -0.0086667 | 0.00801412 / -0.00801464 | 0 / 0 |
 | JET_Flavor_Response | -0.0155741 / 0.0155709 | -0.015611 / 0.0156078 | -0.0064549 / 0.00645436 | -0.00662407 / 0.0066235 | -0.00810377 / 0.00810292 | -0.00633785 / 0.00633733 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0611131 / 0.0609447 | -0.0616677 / 0.0614963 | -0.0355802 / 0.0355231 | -0.0635597 / 0.0633775 | -0.0605463 / 0.060381 | -0.0480011 / 0.0478972 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00160986 / 0.00160985 | -0.00604184 / 0.00604159 | -0.00291419 / 0.00291413 | -0.00117481 / 0.0011748 | 0.00321758 / -0.00321765 | -0.00399896 / 0.00399885 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00177101 / 0.00177098 | 9.69647e-05 / -9.69648e-05 | -0.000575104 / 0.000575102 | 0.00181102 / -0.00181104 | -0.000447542 / 0.00044754 | -0.000287087 / 0.000287086 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 2.94966e-05 / -2.94966e-05 | 0.000811108 / -0.000811113 | 0.000240982 / -0.000240983 | -0.000144957 / 0.000144957 | 0.00560061 / -0.00560083 | 0.000901187 / -0.000901193 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.00236303 / -0.00236307 | 0.00235852 / -0.00235856 | 0.00199839 / -0.00199842 | -0.00177765 / 0.00177763 | 0.00164546 / -0.00164548 | 0.0043873 / -0.00438745 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.0015481 / 0.00154808 | -0.00330035 / 0.00330027 | 0.000167646 / -0.000167646 | 0.000217365 / -0.000217365 | 0.00474731 / -0.00474748 | 0.00242158 / -0.00242162 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00653127 / -0.00653159 | 0.00596687 / -0.00596714 | 0.00305447 / -0.00305454 | 0.00432306 / -0.0043232 | 0.0081576 / -0.00815811 | 0.00740018 / -0.00740059 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00127234 / -0.00127235 | 0.000568074 / -0.000568076 | 1.80331e-05 / -1.80331e-05 | -0.00214486 / 0.00214482 | 0.00308337 / -0.00308344 | -0.000797241 / 0.000797236 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0164908 / -0.0164928 | 0.0167565 / -0.0167585 | 0.0195702 / -0.019573 | 0.0295669 / -0.0295731 | 0.0233653 / -0.0233692 | 0.0329629 / -0.0329707 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00594403 / -0.0059443 | 0.0111462 / -0.0111471 | 0.00198187 / -0.0019819 | 0.00138875 / -0.00138877 | 0.00653594 / -0.00653627 | 0.00527468 / -0.0052749 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00903948 / -0.00904008 | 0.00974127 / -0.00974196 | 0.00284324 / -0.0028433 | 0.00396893 / -0.00396904 | 0.0102953 / -0.0102961 | 0.00734285 / -0.00734325 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00829492 / -0.0082954 | 0.00965148 / -0.00965213 | 0.00490106 / -0.00490122 | 0.00664941 / -0.00664971 | 0.00794002 / -0.00794046 | 0.0106159 / -0.0106167 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00612271 / -0.006123 | 0.00618874 / -0.00618904 | 0.0026756 / -0.00267566 | 0.000962966 / -0.000962973 | 0.00844096 / -0.00844152 | 0.00472726 / -0.00472744 | 0 / 0 |
 | JET_SingleParticle_HighPt | -2.33144e-07 / 2.33144e-07 | 3.52616e-07 / -3.52616e-07 | 8.39237e-07 / -8.39237e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.248024 / 0.247843 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.190634 / 0.190634 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0226933 / 0.0226899 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0114059 / -0.0114071 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | -0.00223905 / 0.00223885 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.244006 / 0.244797 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.190758 / 0.190869 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0238421 / 0.0238385 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0136513 / -0.0136525 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | -0.000833802 / 0.000833797 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.000401523 / 0.000401521 | 0.00135629 / -0.0013563 | -0.0025715 / 0.00257144 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | 0.000639198 / -0.000639257 | 0.000853017 / -0.000853121 | -0.000239993 / 0.000239985 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.19854 / -0.198807 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00408101 / -0.00408101 | 0.00408101 / -0.00408101 | 0.00408101 / -0.00408101 | 0.00408101 / -0.00408101 | 0.00408101 / -0.00408101 | 0.00408101 / -0.00408101 | 0.00408101 / -0.00408101 |
 | #mu_{W+jets} | 0.334174 / -0.334174 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
