 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Statistical2 | -5.69162e-05 / 5.69162e-05 | 0.00170561 / -0.00170561 | 0.000345807 / -0.000345807 | 0.000353662 / -0.000353662 | 0.000139275 / -0.000139275 | -5.4066e-05 / 5.4066e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00287482 / 0.00287482 | 0.000344009 / -0.000344009 | -0.00110327 / 0.00110327 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.00130695 / 0.00130695 | -0.0011188 / 0.0011188 | -0.000769308 / 0.000769308 | 2.02704e-06 / -2.02704e-06 | 0 / 0 | -9.11977e-06 / 9.11977e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.00146096 / 0.00146096 | -0.000898962 / 0.000898962 | -0.000750418 / 0.000750418 | -2.02704e-06 / 2.02704e-06 | -5.03714e-05 / 5.03714e-05 | 9.11977e-06 / -9.11977e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.00174009 / -0.00174009 | -0.000424619 / 0.000424619 | 0.000402675 / -0.000402675 | 2.02704e-06 / -2.02704e-06 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0140258 / -0.0140258 | 0.0146037 / -0.0146037 | 0.0166804 / -0.0166804 | 0.0124707 / -0.0124707 | 0.033479 / -0.033479 | -0.000888995 / 0.000888995 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.083963 / -0.083963 | 0.0983236 / -0.0983236 | 0.0432663 / -0.0432663 | 0.113294 / -0.113294 | 0.0517041 / -0.0517041 | 0.0666048 / -0.0666048 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00285302 / -0.00285302 | 0.000576959 / -0.000576959 | 0.000636994 / -0.000636994 | 0.000291612 / -0.000291612 | -0.000130104 / 0.000130104 | 0.0027793 / -0.0027793 | 0 / 0 |
 | JET_Flavor_Composition | 0.00873393 / -0.00873393 | 0.0145419 / -0.0145419 | 0.0200103 / -0.0200103 | -0.00571735 / 0.00571735 | -0.0101321 / 0.0101321 | 0.000957819 / -0.000957819 | 0 / 0 |
 | JET_Flavor_Response | -0.00535561 / 0.00535561 | -0.00357691 / 0.00357691 | -0.0104334 / 0.0104334 | 0.018526 / -0.018526 | 0.0543307 / -0.0543307 | -0.000386982 / 0.000386982 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0952347 / 0.0952347 | -0.105302 / 0.105302 | -0.0570135 / 0.0570135 | -0.124919 / 0.124919 | -0.0558545 / 0.0558545 | -0.0284564 / 0.0284564 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0.00010756 / -0.00010756 | -0.00207873 / 0.00207873 | 0.0126502 / -0.0126502 | -0.0148745 / 0.0148745 | 0.00659207 / -0.00659207 | 1.35674e-05 / -1.35674e-05 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 3.98485e-05 / -3.98485e-05 | -0.00949067 / 0.00949067 | 0.00938955 / -0.00938955 | 0.0131061 / -0.0131061 | -0.0126613 / 0.0126613 | 0.00474732 / -0.00474732 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.00290311 / 0.00290311 | 0.0076111 / -0.0076111 | 0.00516966 / -0.00516966 | 0.00518084 / -0.00518084 | 0.0118487 / -0.0118487 | -0.0125623 / 0.0125623 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -0.0019189 / 0.0019189 | 0.0105031 / -0.0105031 | -0.0137647 / 0.0137647 | -0.0228237 / 0.0228237 | 0.0866231 / -0.0866231 | -0.0125255 / 0.0125255 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000701166 / 0.000701166 | 0.0223785 / -0.0223785 | 0.0162936 / -0.0162936 | 0.00159512 / -0.00159512 | 0.00755236 / -0.00755236 | -0.0378906 / 0.0378906 | 0 / 0 |
