 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0458598 / -0.0459801 | 0.0318126 / -0.0318705 | 0.0704736 / -0.0707582 | 0 / 0 | 0.0580935 / -0.0582867 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000508568 / -0.000508569 | 0.000236818 / -0.000236818 | 0 / 0 | 0 / 0 | -0.00509286 / 0.00509268 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.00648759 / -0.00648793 | 0.00375758 / -0.0037577 | 0.00404118 / -0.00404132 | 0 / 0 | 0.00127117 / -0.00127118 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.00637843 / 0.0063779 | -0.00442442 / 0.00442417 | -0.00388571 / 0.00388551 | 0 / 0 | 0.00702354 / -0.00702418 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0 / 0 | -0.0362485 / 0.0361892 | -0.0286644 / 0.0286273 | -0.0152932 / 0.0152827 | 0 / 0 | -0.0343661 / 0.0343129 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | -0.00304628 / 0.00304622 | 0.00116619 / -0.00116619 | -0.0047059 / 0.00470575 | 0 / 0 | 0.0173216 / -0.0173236 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0 / 0 | 0.00150298 / -0.00150299 | 0.0011849 / -0.00118491 | 0.00878642 / -0.00878702 | 0 / 0 | 0.00175081 / -0.00175084 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0 / 0 | 0.000473859 / -0.000473861 | -0.000790174 / 0.00079017 | -0.000168618 / 0.000168618 | 0 / 0 | 0.00852814 / -0.00852864 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0 / 0 | -0.000779499 / 0.000779494 | -0.00260106 / 0.00260101 | -0.00984923 / 0.00984848 | 0 / 0 | -0.00157305 / 0.00157303 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.00124295 / 0.00124294 | -0.00106861 / 0.00106861 | -0.0040703 / 0.00407018 | 0 / 0 | -0.00181964 / 0.00181962 | 0 / 0 |
