 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 3.99394e-05 / -3.99395e-05 | 4.80009e-05 / -4.80009e-05 | -0.000106197 / 0.000106197 | 0 / 0 | 1.8991e-05 / -1.8991e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0.000240559 / -0.000240559 | 0.00018974 / -0.00018974 | 9.53319e-05 / -9.53319e-05 | 0 / 0 | 0.000470201 / -0.000470203 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.00484199 / -0.00484216 | 0.00237492 / -0.00237496 | 0.00481553 / -0.00481569 | 0.000428948 / -0.000428949 | 0.00364062 / -0.00364071 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | -0.0138944 / 0.0138834 | 0.0235854 / -0.0236172 | 0.0140279 / -0.0140391 | 0.0313579 / -0.0314141 | 0.0630075 / -0.0632349 | 0.0319632 / -0.0320216 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000163078 / -0.000163078 | 0.000239488 / -0.000239488 | -4.58366e-05 / 4.58366e-05 | 3.08725e-05 / -3.08725e-05 | 0.00091189 / -0.000911895 | 0 / 0 |
 | JET_Flavor_Composition | -0.014569 / 0.0145673 | 0.0037484 / -0.00374851 | 0.00143062 / -0.00143063 | 0.00297789 / -0.00297796 | 0.000481893 / -0.000481895 | -0.000990491 / 0.000990483 | 0 / 0 |
 | JET_Flavor_Response | 0.0144979 / -0.0145006 | -0.00811822 / 0.00811737 | -0.00381285 / 0.00381266 | -0.00532921 / 0.00532884 | -0.00507377 / 0.00507343 | -0.00146268 / 0.00146265 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0140535 / 0.0140446 | -0.0248058 / 0.024778 | -0.0175909 / 0.0175769 | -0.0248984 / 0.0248704 | -0.0342632 / 0.0342103 | -0.0317424 / 0.031697 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.000659216 / 0.000659213 | -0.000228283 / 0.000228282 | -0.000792177 / 0.000792172 | 0.00715861 / -0.00715896 | 0.0748654 / -0.0749033 | -0.001632 / 0.00163198 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0 / 0 | -0.000311573 / 0.000311572 | -0.000297982 / 0.000297981 | -0.00141781 / 0.00141779 | -0.0224512 / 0.0224472 | 0.000218042 / -0.000218042 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0 / 0 | -0.000407227 / 0.000407226 | -0.000260929 / 0.000260929 | -0.00199348 / 0.00199345 | 0.0130638 / -0.013065 | 0.00104779 / -0.0010478 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0 / 0 | 7.81171e-05 / -7.81171e-05 | 0.00117219 / -0.0011722 | 0.00210328 / -0.00210332 | 0.0171375 / -0.0171398 | -0.00057591 / 0.000575908 | 0 / 0 |
