 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000511978 / -0.000511978 | 0.000238406 / -0.000238406 | 0 / 0 | 0 / 0 | -0.00512691 / 0.00512691 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.00654055 / -0.00654055 | 0.00378822 / -0.00378822 | 0.00407414 / -0.00407414 | 0 / 0 | 0.00128152 / -0.00128152 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.00646064 / 0.00646064 | -0.0044815 / 0.0044815 | -0.00393585 / 0.00393585 | 0 / 0 | 0.00711468 / -0.00711468 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0 / 0 | -0.0378625 / 0.0378625 | -0.0299459 / 0.0299459 | -0.0159818 / 0.0159818 | 0 / 0 | -0.0358978 / 0.0358978 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | -0.00306682 / 0.00306682 | 0.00117407 / -0.00117407 | -0.00473761 / 0.00473761 | 0 / 0 | 0.0174396 / -0.0174396 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0 / 0 | 0.00151472 / -0.00151472 | 0.00119415 / -0.00119415 | 0.0088553 / -0.0088553 | 0 / 0 | 0.00176449 / -0.00176449 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0 / 0 | 0.000477149 / -0.000477149 | -0.000795656 / 0.000795656 | -0.000169788 / 0.000169788 | 0 / 0 | 0.00858758 / -0.00858758 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0 / 0 | -0.000785498 / 0.000785498 | -0.00262106 / 0.00262106 | -0.00992469 / 0.00992469 | 0 / 0 | -0.00158515 / 0.00158515 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.00125198 / 0.00125198 | -0.00107637 / 0.00107637 | -0.00409981 / 0.00409981 | 0 / 0 | -0.00183285 / 0.00183285 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.00356846 / -0.00356846 | 0.00213067 / -0.00213067 | 0.00396068 / -0.00396068 | 0 / 0 | 0.0030865 / -0.0030865 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | -0.000693907 / 0.000693907 | -0.00024467 / 0.00024467 | -0.000113497 / 0.000113497 | 0 / 0 | -0.00514321 / 0.00514321 | 0 / 0 |
 | JET_NNJvtEfficiency | 0 / 0 | 0.0197154 / -0.0197154 | 0.0220512 / -0.0220512 | 0.0335813 / -0.0335813 | 0 / 0 | 0.0357577 / -0.0357577 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0018448 / -0.0018448 | 0.00124992 / -0.00124992 | -0.000680086 / 0.000680086 | 0 / 0 | -0.00765502 / 0.00765502 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.00212071 / -0.00212071 | 0.000458928 / -0.000458928 | 0.000321878 / -0.000321878 | 0 / 0 | -0.00558711 / 0.00558711 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.00381041 / -0.00381041 | 0.0039023 / -0.0039023 | 0 / 0 | 0 / 0 | 0.00681148 / -0.00681148 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0015662 / -0.0015662 | 5.16515e-05 / -5.16515e-05 | 0.00394349 / -0.00394349 | 0 / 0 | -0.000150899 / 0.000150899 | 0 / 0 |
 | JET_SingleParticle_HighPt | 0 / 0 | 2.23871e-06 / -2.23871e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
