 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0.000242171 / -0.000242171 | 0.000191011 / -0.000191011 | 9.59707e-05 / -9.59707e-05 | 0 / 0 | 0.000473352 / -0.000473352 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.00487593 / -0.00487593 | 0.00239155 / -0.00239155 | 0.00484928 / -0.00484928 | 0.000431948 / -0.000431948 | 0.00366612 / -0.00366612 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | -0.0146867 / 0.0146867 | 0.0249568 / -0.0249568 | 0.0148395 / -0.0148395 | 0.0331885 / -0.0331885 | 0.0667441 / -0.0667441 | 0.0338297 / -0.0338297 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000164172 / -0.000164172 | 0.000241093 / -0.000241093 | -4.61439e-05 / 4.61439e-05 | 3.10795e-05 / -3.10795e-05 | 0.000918005 / -0.000918005 | 0 / 0 |
 | JET_Flavor_Composition | -0.0146867 / 0.0146867 | 0.00377896 / -0.00377896 | 0.00144227 / -0.00144227 | 0.00300216 / -0.00300216 | 0.000485815 / -0.000485815 | -0.000998548 / 0.000998548 | 0 / 0 |
 | JET_Flavor_Response | 0.0146867 / -0.0146867 | -0.00822276 / 0.00822276 | -0.00386206 / 0.00386206 | -0.00539792 / 0.00539792 | -0.0051392 / 0.0051392 | -0.00148157 / 0.00148157 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0146867 / 0.0146867 | -0.0259171 / 0.0259171 | -0.018382 / 0.018382 | -0.0260138 / 0.0260138 | -0.0357904 / 0.0357904 | -0.0331592 / 0.0331592 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.000663667 / 0.000663667 | -0.000229824 / 0.000229824 | -0.000797525 / 0.000797525 | 0.00720713 / -0.00720713 | 0.0753896 / -0.0753896 | -0.00164301 / 0.00164301 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0 / 0 | -0.000314005 / 0.000314005 | -0.000300307 / 0.000300307 | -0.00142887 / 0.00142887 | -0.0226244 / 0.0226244 | 0.000219743 / -0.000219743 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 0 / 0 | -0.000410053 / 0.000410053 | -0.00026274 / 0.00026274 | -0.0020073 / 0.0020073 | 0.0131551 / -0.0131551 | 0.00105507 / -0.00105507 | 0 / 0 |
